:MONARCH:c000001	MONARCH:c000001
:MONARCH:c000002	MONARCH:c000002
:MONARCH:c000003	MONARCH:c000003
:MONARCH:c000004	MONARCH:c000004
:MONARCH:c000005	MONARCH:c000005
:MONARCH:c000006	MONARCH:c000006
:MONARCH:c000007	MONARCH:c000007
:MONARCH:c000008	MONARCH:c000008
:MONARCH:c000009	MONARCH:c000009
:MONARCH:c000010	MONARCH:c000010
:MONARCH:c000011	MONARCH:c000011
:MONARCH:c000012	MONARCH:c000012
:MONARCH:c000013	MONARCH:c000013
:MONARCH:c000014	MONARCH:c000014
:MONARCH:c000015	MONARCH:c000015
:MONARCH:c000016	MONARCH:c000016
:MONARCH:c000017	MONARCH:c000017
:MONARCH:c000018	MONARCH:c000018
:MONARCH:c000019	MONARCH:c000019
:MONARCH:c000020	MONARCH:c000020
:MONARCH:c000021	MONARCH:c000021
:MONARCH:c000022	MONARCH:c000022
:MONARCH:c000023	MONARCH:c000023
:MONARCH:c000024	MONARCH:c000024
:MONARCH:c000025	MONARCH:c000025
:MONARCH:c000026	MONARCH:c000026
:MONARCH:c000027	MONARCH:c000027
:MONARCH:c000028	MONARCH:c000028
:MONARCH:c000029	MONARCH:c000029
:MONARCH:c000030	MONARCH:c000030
:MONARCH:c000031	MONARCH:c000031
:MONARCH:c000032	MONARCH:c000032
:MONARCH:c000033	MONARCH:c000033
:MONARCH:c000034	MONARCH:c000034
:MONARCH:c000035	MONARCH:c000035
:MONARCH:c000036	MONARCH:c000036
:MONARCH:c000037	MONARCH:c000037
:MONARCH:c000038	MONARCH:c000038
