affected_gene_id	affected_gene_label
ZFIN:ZDB-GENE-010108-1	vox
ZFIN:ZDB-GENE-010108-2	vent
ZFIN:ZDB-GENE-010111-1	sox19b
ZFIN:ZDB-GENE-010125-1	oprm1
ZFIN:ZDB-GENE-010126-2	ntrk2b
ZFIN:ZDB-GENE-010129-1	klf17
ZFIN:ZDB-GENE-010130-1	ctbp1
ZFIN:ZDB-GENE-010130-2	ctbp2a
ZFIN:ZDB-GENE-010131-2	cdk5
ZFIN:ZDB-GENE-010131-6	mdkb
ZFIN:ZDB-GENE-010131-8	ctsd
ZFIN:ZDB-GENE-010202-1	mapk8b
ZFIN:ZDB-GENE-010202-2	mapk14a
ZFIN:ZDB-GENE-010226-1	gdnfa
ZFIN:ZDB-GENE-010226-2	gfra1a
ZFIN:ZDB-GENE-010226-3	gfra1b
ZFIN:ZDB-GENE-010302-1	foxc1a
ZFIN:ZDB-GENE-010302-2	foxc1b
ZFIN:ZDB-GENE-010306-1	cyp11a1
ZFIN:ZDB-GENE-010306-3	slit2
ZFIN:ZDB-GENE-010306-4	slit3
ZFIN:ZDB-GENE-010316-1	slc6a3
ZFIN:ZDB-GENE-010319-1	dvl3a
ZFIN:ZDB-GENE-010319-35	pard6gb
ZFIN:ZDB-GENE-010320-1	cdk1
ZFIN:ZDB-GENE-010328-10	cldnj
ZFIN:ZDB-GENE-010328-15	hip1
ZFIN:ZDB-GENE-010328-2	cldnb
ZFIN:ZDB-GENE-010328-5	cldne
ZFIN:ZDB-GENE-010403-1	crx
ZFIN:ZDB-GENE-010406-2	meis3
ZFIN:ZDB-GENE-010406-3	ncoa2
ZFIN:ZDB-GENE-010406-5	dhfr
ZFIN:ZDB-GENE-010410-2	glrba
ZFIN:ZDB-GENE-010410-3	glra4a
ZFIN:ZDB-GENE-010412-1	six2a
ZFIN:ZDB-GENE-010416-1	bambia
ZFIN:ZDB-GENE-010426-1	dmd
ZFIN:ZDB-GENE-010426-3	cry1b
ZFIN:ZDB-GENE-010426-4	cry2a
ZFIN:ZDB-GENE-010430-4	ppt2
ZFIN:ZDB-GENE-010501-6	ehmt2
ZFIN:ZDB-GENE-010504-1	nr5a1a
ZFIN:ZDB-GENE-010509-1	bco2l
ZFIN:ZDB-GENE-010525-1	slc4a1a
ZFIN:ZDB-GENE-010601-1	vars
ZFIN:ZDB-GENE-010606-1	cdh1
ZFIN:ZDB-GENE-010608-4	neurog3
ZFIN:ZDB-GENE-010614-1	cxcr4b
ZFIN:ZDB-GENE-010618-1	efnb2b
ZFIN:ZDB-GENE-010618-3	efnb3b
ZFIN:ZDB-GENE-010619-3	cx55.5
ZFIN:ZDB-GENE-010621-1	zeb1b
ZFIN:ZDB-GENE-010702-1	lmo4a
ZFIN:ZDB-GENE-010716-1	irx1b
ZFIN:ZDB-GENE-010717-1	znf703
ZFIN:ZDB-GENE-010718-1	atp1b2b
ZFIN:ZDB-GENE-010724-3	sec22ba
ZFIN:ZDB-GENE-010724-4	mpz
ZFIN:ZDB-GENE-010724-5	arf1
ZFIN:ZDB-GENE-010724-7	copb2
ZFIN:ZDB-GENE-010730-1	bcl2l1
ZFIN:ZDB-GENE-010803-2	spry4
ZFIN:ZDB-GENE-010816-1	odc1
ZFIN:ZDB-GENE-010817-1	angpt1
ZFIN:ZDB-GENE-010817-2	angpt2b
ZFIN:ZDB-GENE-010822-2	ncam1b
ZFIN:ZDB-GENE-010906-1	ache
ZFIN:ZDB-GENE-010906-2	ednraa
ZFIN:ZDB-GENE-010919-1	mitfb
ZFIN:ZDB-GENE-011003-1	adh5
ZFIN:ZDB-GENE-011010-3	aldh1a2
ZFIN:ZDB-GENE-011022-1	ugdh
ZFIN:ZDB-GENE-011023-1	vcana
ZFIN:ZDB-GENE-011026-1	sox32
ZFIN:ZDB-GENE-011101-2	dcc
ZFIN:ZDB-GENE-011101-3	mab21l2
ZFIN:ZDB-GENE-011105-1	prkci
ZFIN:ZDB-GENE-011108-2	sfrp5
ZFIN:ZDB-GENE-011109-1	klf2a
ZFIN:ZDB-GENE-011109-2	klf2b
ZFIN:ZDB-GENE-011115-1	ywhag1
ZFIN:ZDB-GENE-011119-1	gpc4
ZFIN:ZDB-GENE-011128-10	gnat2
ZFIN:ZDB-GENE-011128-11	gnat1
ZFIN:ZDB-GENE-011128-1	hsf2
ZFIN:ZDB-GENE-011128-2	jag1a
ZFIN:ZDB-GENE-011128-3	jag2b
ZFIN:ZDB-GENE-011128-4	jag1b
ZFIN:ZDB-GENE-011128-7	gucy2f
ZFIN:ZDB-GENE-011128-9	gc3
ZFIN:ZDB-GENE-011207-1	sox10
ZFIN:ZDB-GENE-011210-1	casp3a
ZFIN:ZDB-GENE-011210-2	xbp1
ZFIN:ZDB-GENE-011212-6	tfap2a
ZFIN:ZDB-GENE-011214-1	admp
ZFIN:ZDB-GENE-011219-1	cyp1a
ZFIN:ZDB-GENE-011220-2	per2
ZFIN:ZDB-GENE-011221-1	nanos3
ZFIN:ZDB-GENE-020102-1	cxcr4a
ZFIN:ZDB-GENE-020103-1	irx7
ZFIN:ZDB-GENE-020104-1	hnf1ba
ZFIN:ZDB-GENE-020107-1	ptpra
ZFIN:ZDB-GENE-020107-2	ptprfa
ZFIN:ZDB-GENE-020107-3	ptprsa
ZFIN:ZDB-GENE-020108-2	ryr1a
ZFIN:ZDB-GENE-020111-3	cebpb
ZFIN:ZDB-GENE-020114-1	ptk2ab
ZFIN:ZDB-GENE-020117-1	dmbx1a
ZFIN:ZDB-GENE-020117-2	gbx1
ZFIN:ZDB-GENE-020122-1	meis1b
ZFIN:ZDB-GENE-020122-2	meis2a
ZFIN:ZDB-GENE-020122-5	pknox1.1
ZFIN:ZDB-GENE-020123-1	pknox1.2
ZFIN:ZDB-GENE-020123-2	s1pr2
ZFIN:ZDB-GENE-020125-3	gria2a
ZFIN:ZDB-GENE-020125-4	gria2b
ZFIN:ZDB-GENE-020129-1	cacna1c
ZFIN:ZDB-GENE-020220-1	appb
ZFIN:ZDB-GENE-020228-1	spns1
ZFIN:ZDB-GENE-020318-2	fabp3
ZFIN:ZDB-GENE-020320-4	crabp2a
ZFIN:ZDB-GENE-020320-5	il17rd
ZFIN:ZDB-GENE-020402-1	glra3
ZFIN:ZDB-GENE-020402-3	dacha
ZFIN:ZDB-GENE-020402-4	dachb
ZFIN:ZDB-GENE-020416-5	tbx6
ZFIN:ZDB-GENE-020418-1	ccna2
ZFIN:ZDB-GENE-020418-2	sec61a1
ZFIN:ZDB-GENE-020419-11	atp6v1e1b
ZFIN:ZDB-GENE-020419-12	rps5
ZFIN:ZDB-GENE-020419-13	srrt
ZFIN:ZDB-GENE-020419-14	snrpd1
ZFIN:ZDB-GENE-020419-15	ppp1r10
ZFIN:ZDB-GENE-020419-16	pole2
ZFIN:ZDB-GENE-020419-17	timm23
ZFIN:ZDB-GENE-020419-18	taf7
ZFIN:ZDB-GENE-020419-19	csnk1a1
ZFIN:ZDB-GENE-020419-1	u2af1
ZFIN:ZDB-GENE-020419-20	rps18
ZFIN:ZDB-GENE-020419-21	smc4
ZFIN:ZDB-GENE-020419-22	sf3b4
ZFIN:ZDB-GENE-020419-23	atp6v0ca
ZFIN:ZDB-GENE-020419-24	mcm2
ZFIN:ZDB-GENE-020419-25	rpl24
ZFIN:ZDB-GENE-020419-26	snrpc
ZFIN:ZDB-GENE-020419-27	mcm7
ZFIN:ZDB-GENE-020419-28	adssl
ZFIN:ZDB-GENE-020419-29	scarb2
ZFIN:ZDB-GENE-020419-2	rpl35
ZFIN:ZDB-GENE-020419-30	ddx19
ZFIN:ZDB-GENE-020419-31	ncbp2
ZFIN:ZDB-GENE-020419-32	hdac1
ZFIN:ZDB-GENE-020419-33	vps18
ZFIN:ZDB-GENE-020419-34	dtl
ZFIN:ZDB-GENE-020419-35	mak16
ZFIN:ZDB-GENE-020419-36	actl6a
ZFIN:ZDB-GENE-020419-37	uxs1
ZFIN:ZDB-GENE-020419-38	terfa
ZFIN:ZDB-GENE-020419-39	stil
ZFIN:ZDB-GENE-020419-3	b3gat3
ZFIN:ZDB-GENE-020419-40	aurkb
ZFIN:ZDB-GENE-020419-4	mcm3
ZFIN:ZDB-GENE-020419-5	cct3
ZFIN:ZDB-GENE-020419-6	cct2
ZFIN:ZDB-GENE-020419-7	cct7
ZFIN:ZDB-GENE-020419-9	slc25a5
ZFIN:ZDB-GENE-020423-1	rpl36a
ZFIN:ZDB-GENE-020423-2	atp6ap1b
ZFIN:ZDB-GENE-020423-3	eef1g
ZFIN:ZDB-GENE-020423-4	naca
ZFIN:ZDB-GENE-020424-3	lmna
ZFIN:ZDB-GENE-020426-1	kif11
ZFIN:ZDB-GENE-020430-1	flot1a
ZFIN:ZDB-GENE-020430-2	flot1b
ZFIN:ZDB-GENE-020430-3	flot2a
ZFIN:ZDB-GENE-020503-1	igf1ra
ZFIN:ZDB-GENE-020503-2	igf1rb
ZFIN:ZDB-GENE-020503-3	insra
ZFIN:ZDB-GENE-020503-4	insrb
ZFIN:ZDB-GENE-020507-2	invs
ZFIN:ZDB-GENE-020507-3	vangl2
ZFIN:ZDB-GENE-020509-1	nek8
ZFIN:ZDB-GENE-020509-2	gbx2
ZFIN:ZDB-GENE-020515-1	id3
ZFIN:ZDB-GENE-020530-1	ptgs1
ZFIN:ZDB-GENE-020530-2	ptgs2a
ZFIN:ZDB-GENE-020531-2	ahr1a
ZFIN:ZDB-GENE-020604-1	myhz2
ZFIN:ZDB-GENE-020708-1	thbs1b
ZFIN:ZDB-GENE-020709-1	myo7aa
ZFIN:ZDB-GENE-020712-1	mpp5a
ZFIN:ZDB-GENE-020731-6	fmr1
ZFIN:ZDB-GENE-020801-1	bbs2
ZFIN:ZDB-GENE-020806-3	mst1
ZFIN:ZDB-GENE-020806-5	esr1
ZFIN:ZDB-GENE-020809-1	robo4
ZFIN:ZDB-GENE-020809-4	adcyap1a
ZFIN:ZDB-GENE-020812-3	twsg1b
ZFIN:ZDB-GENE-020814-2	cxadr
ZFIN:ZDB-GENE-020828-1	has2
ZFIN:ZDB-GENE-020829-1	sim1a
