FlyBase:FBgn0019631	Drer\shh
ZFIN:ZDB-GENE-000511-8	slc40a1
ZFIN:ZDB-GENE-000516-1	fbxw4
ZFIN:ZDB-GENE-000526-1	hey2
ZFIN:ZDB-GENE-000605-1	runx1
ZFIN:ZDB-GENE-000605-2	runx3
ZFIN:ZDB-GENE-000607-1	pcdh18a
ZFIN:ZDB-GENE-000607-75	noc2l
ZFIN:ZDB-GENE-000607-82	wwp2
ZFIN:ZDB-GENE-000607-83	krt4
ZFIN:ZDB-GENE-000616-13	appa
ZFIN:ZDB-GENE-000616-14	gart
ZFIN:ZDB-GENE-000616-15	foxh1
ZFIN:ZDB-GENE-000616-16	hsf1
ZFIN:ZDB-GENE-000616-3	caspa
ZFIN:ZDB-GENE-000616-6	myf5
ZFIN:ZDB-GENE-000622-1	gata6
ZFIN:ZDB-GENE-000626-1	tnnt2a
ZFIN:ZDB-GENE-000627-2	adarb1a
ZFIN:ZDB-GENE-000629-1	rplp0
ZFIN:ZDB-GENE-000629-3	ybx1
ZFIN:ZDB-GENE-000705-1	kdrl
ZFIN:ZDB-GENE-000710-4	zic2a
ZFIN:ZDB-GENE-000710-6	mxtx2
ZFIN:ZDB-GENE-000804-1	per3
ZFIN:ZDB-GENE-000823-6	hoxb5b
ZFIN:ZDB-GENE-000828-1	scn8aa
ZFIN:ZDB-GENE-000831-3	slc3a2a
ZFIN:ZDB-GENE-000906-1	sptb
ZFIN:ZDB-GENE-000920-1	edn1
ZFIN:ZDB-GENE-000926-1	atoh7
ZFIN:ZDB-GENE-000928-1	fech
ZFIN:ZDB-GENE-001006-1	fgf4
ZFIN:ZDB-GENE-001019-1	robo2
ZFIN:ZDB-GENE-001020-1	hmx3a
ZFIN:ZDB-GENE-001030-2	pax5
ZFIN:ZDB-GENE-001030-3	pax8
ZFIN:ZDB-GENE-001031-1	pax6b
ZFIN:ZDB-GENE-001101-1	nos1
ZFIN:ZDB-GENE-001103-1	sox9a
ZFIN:ZDB-GENE-001103-2	sox9b
ZFIN:ZDB-GENE-001103-3	fezf2
ZFIN:ZDB-GENE-001106-1	wnt3a
ZFIN:ZDB-GENE-001127-3	atp1b1a
ZFIN:ZDB-GENE-001205-1	csf1ra
ZFIN:ZDB-GENE-001206-2	lbx2
ZFIN:ZDB-GENE-001207-1	supt5h
ZFIN:ZDB-GENE-001207-3	arnt2
ZFIN:ZDB-GENE-001207-7	epha4a
ZFIN:ZDB-GENE-001212-1	atp1a1a.1
ZFIN:ZDB-GENE-001212-6	atp1a2a
ZFIN:ZDB-GENE-001212-7	atp1a3a
ZFIN:ZDB-GENE-001212-8	atp1a3b
ZFIN:ZDB-GENE-001221-1	nrf1
ZFIN:ZDB-GENE-001222-1	vsx2
ZFIN:ZDB-GENE-001228-1	eomesa
ZFIN:ZDB-GENE-001228-2	s1pr1
ZFIN:ZDB-GENE-001229-1	alas2
ZFIN:ZDB-GENE-010102-1	dcn
ZFIN:ZDB-GENE-010111-1	sox19b
ZFIN:ZDB-GENE-010125-1	oprm1
ZFIN:ZDB-GENE-010126-2	ntrk2b
ZFIN:ZDB-GENE-010129-1	klf17
ZFIN:ZDB-GENE-010130-2	ctbp2a
ZFIN:ZDB-GENE-010131-2	cdk5
ZFIN:ZDB-GENE-010131-6	mdkb
ZFIN:ZDB-GENE-010131-8	ctsd
ZFIN:ZDB-GENE-010202-1	mapk8b
ZFIN:ZDB-GENE-010202-2	mapk14a
ZFIN:ZDB-GENE-010226-1	gdnfa
ZFIN:ZDB-GENE-010226-2	gfra1a
ZFIN:ZDB-GENE-010302-1	foxc1a
ZFIN:ZDB-GENE-010302-2	foxc1b
ZFIN:ZDB-GENE-010306-1	cyp11a1
ZFIN:ZDB-GENE-010306-3	slit2
ZFIN:ZDB-GENE-010316-1	slc6a3
ZFIN:ZDB-GENE-010319-35	pard6gb
ZFIN:ZDB-GENE-010320-1	cdk1
ZFIN:ZDB-GENE-010328-10	cldnj
ZFIN:ZDB-GENE-010328-15	hip1
ZFIN:ZDB-GENE-010328-2	cldnb
ZFIN:ZDB-GENE-010328-5	cldne
ZFIN:ZDB-GENE-010403-1	crx
ZFIN:ZDB-GENE-010406-2	meis3
ZFIN:ZDB-GENE-010406-3	ncoa2
ZFIN:ZDB-GENE-010406-5	dhfr
ZFIN:ZDB-GENE-010410-3	glra4a
ZFIN:ZDB-GENE-010412-1	six2a
ZFIN:ZDB-GENE-010416-1	bambia
ZFIN:ZDB-GENE-010426-1	dmd
ZFIN:ZDB-GENE-010501-6	ehmt2
ZFIN:ZDB-GENE-010504-1	nr5a1a
ZFIN:ZDB-GENE-010509-1	bco2l
ZFIN:ZDB-GENE-010522-1	cp
ZFIN:ZDB-GENE-010525-1	slc4a1a
ZFIN:ZDB-GENE-010601-1	vars
ZFIN:ZDB-GENE-010606-1	cdh1
ZFIN:ZDB-GENE-010611-1	cebp1
ZFIN:ZDB-GENE-010614-1	cxcr4b
ZFIN:ZDB-GENE-010619-3	cx55.5
ZFIN:ZDB-GENE-010621-1	zeb1b
ZFIN:ZDB-GENE-010702-1	lmo4a
ZFIN:ZDB-GENE-010716-1	irx1b
ZFIN:ZDB-GENE-010717-1	znf703
ZFIN:ZDB-GENE-010718-1	atp1b2b
ZFIN:ZDB-GENE-010724-18	apoea
ZFIN:ZDB-GENE-010724-5	arf1
ZFIN:ZDB-GENE-010724-6	fh
ZFIN:ZDB-GENE-010724-7	copb2
ZFIN:ZDB-GENE-010727-1	etv6
ZFIN:ZDB-GENE-010730-1	bcl2l1
ZFIN:ZDB-GENE-010803-2	spry4
ZFIN:ZDB-GENE-010816-1	odc1
ZFIN:ZDB-GENE-010817-1	angpt1
ZFIN:ZDB-GENE-010817-2	angpt2b
ZFIN:ZDB-GENE-010817-3	angptl3
ZFIN:ZDB-GENE-010822-2	ncam1b
ZFIN:ZDB-GENE-010906-1	ache
ZFIN:ZDB-GENE-010906-2	ednraa
ZFIN:ZDB-GENE-011003-1	adh5
ZFIN:ZDB-GENE-011010-3	aldh1a2
ZFIN:ZDB-GENE-011022-1	ugdh
ZFIN:ZDB-GENE-011023-1	vcana
ZFIN:ZDB-GENE-011026-1	sox32
ZFIN:ZDB-GENE-011101-2	dcc
ZFIN:ZDB-GENE-011101-3	mab21l2
ZFIN:ZDB-GENE-011105-1	prkci
ZFIN:ZDB-GENE-011108-2	sfrp5
ZFIN:ZDB-GENE-011109-1	klf2a
ZFIN:ZDB-GENE-011109-2	klf2b
ZFIN:ZDB-GENE-011115-1	ywhag1
ZFIN:ZDB-GENE-011116-1	klf3
ZFIN:ZDB-GENE-011119-1	gpc4
ZFIN:ZDB-GENE-011128-10	gnat2
ZFIN:ZDB-GENE-011128-2	jag1a
ZFIN:ZDB-GENE-011128-3	jag2b
ZFIN:ZDB-GENE-011128-4	jag1b
ZFIN:ZDB-GENE-011128-7	gucy2f
ZFIN:ZDB-GENE-011128-9	gc3
ZFIN:ZDB-GENE-011207-1	sox10
ZFIN:ZDB-GENE-011210-1	casp3a
ZFIN:ZDB-GENE-011210-2	xbp1
ZFIN:ZDB-GENE-011212-6	tfap2a
ZFIN:ZDB-GENE-011214-1	admp
ZFIN:ZDB-GENE-011220-2	per2
ZFIN:ZDB-GENE-011221-1	nanos3
ZFIN:ZDB-GENE-020102-1	cxcr4a
ZFIN:ZDB-GENE-020103-1	irx7
ZFIN:ZDB-GENE-020104-1	hnf1ba
ZFIN:ZDB-GENE-020107-1	ptpra
ZFIN:ZDB-GENE-020107-2	ptprfa
ZFIN:ZDB-GENE-020107-3	ptprsa
ZFIN:ZDB-GENE-020108-2	ryr1a
ZFIN:ZDB-GENE-020111-2	cebpa
ZFIN:ZDB-GENE-020114-1	ptk2ab
ZFIN:ZDB-GENE-020117-1	dmbx1a
ZFIN:ZDB-GENE-020117-2	gbx1
ZFIN:ZDB-GENE-020122-1	meis1b
ZFIN:ZDB-GENE-020122-2	meis2a
ZFIN:ZDB-GENE-020122-5	pknox1.1
ZFIN:ZDB-GENE-020123-1	pknox1.2
ZFIN:ZDB-GENE-020123-2	s1pr2
ZFIN:ZDB-GENE-020125-3	gria2a
ZFIN:ZDB-GENE-020125-5	gria3a
ZFIN:ZDB-GENE-020129-1	cacna1c
ZFIN:ZDB-GENE-020220-1	appb
ZFIN:ZDB-GENE-020228-1	spns1
ZFIN:ZDB-GENE-020318-1	fabp10a
ZFIN:ZDB-GENE-020318-2	fabp3
ZFIN:ZDB-GENE-020320-5	il17rd
ZFIN:ZDB-GENE-020402-1	glra3
ZFIN:ZDB-GENE-020402-4	dachb
ZFIN:ZDB-GENE-020416-5	tbx6
ZFIN:ZDB-GENE-020418-1	ccna2
ZFIN:ZDB-GENE-020418-2	sec61a1
ZFIN:ZDB-GENE-020419-1	u2af1
ZFIN:ZDB-GENE-020419-11	atp6v1e1b
