FlyBase:FBgn0015267	Mmus\Abl
FlyBase:FBgn0015273	Mmus\Pkaca
FlyBase:FBgn0016098	Mmus\Hoxb6
FlyBase:FBgn0016099	Mmus\Hoxb9
FlyBase:FBgn0016101	Mmus\Pax6
FlyBase:FBgn0017569	Mmus\Pax3
FlyBase:FBgn0017570	Mmus\Nos2
FlyBase:FBgn0017573	Mmus\Numb
FlyBase:FBgn0017574	Mmus\Nfkb1
FlyBase:FBgn0017575	Mmus\Rela
FlyBase:FBgn0017576	Mmus\Cutl1
FlyBase:FBgn0019961	Mmus\Lef1
FlyBase:FBgn0019962	Mmus\Dvl2
FlyBase:FBgn0020402	Mmus\Rfng
FlyBase:FBgn0020403	Mmus\Numbl
FlyBase:FBgn0020404	Mmus\Mfng
FlyBase:FBgn0020405	Mmus\Lfng
FlyBase:FBgn0020627	Mmus\Bmi1
FlyBase:FBgn0020629	Mmus\kuz
FlyBase:FBgn0022388	Mmus\Meis1
FlyBase:FBgn0022776	Mmus\Prkar2a
FlyBase:FBgn0022777	Mmus\Prkmk7
FlyBase:FBgn0023186	Mmus\Eya2
FlyBase:FBgn0023493	Mmus\Catnb
FlyBase:FBgn0024955	Mmus\Hoxa2
FlyBase:FBgn0025363	Mmus\Nkx2-5
FlyBase:FBgn0025575	Mmus\Sox2
FlyBase:FBgn0025811	Mmus\Gcm2
FlyBase:FBgn0026405	Mmus\Tak1
FlyBase:FBgn0026406	Mmus\Cd8a
FlyBase:FBgn0026407	Mmus\Ahr
FlyBase:FBgn0026789	Mmus\Hoxa5
FlyBase:FBgn0026790	Mmus\Gcm-rs1
FlyBase:FBgn0028413	Mmus\RdgB2
FlyBase:FBgn0028414	Mmus\Ect2
FlyBase:FBgn0028711	Mmus\Kif3a
FlyBase:FBgn0029149	Mmus\Gata4
FlyBase:FBgn0029150	Mmus\Dnmt3a
FlyBase:FBgn0029151	Mmus\Dnmt
FlyBase:FBgn0040300	Mmus\Emx2
FlyBase:FBgn0040302	Mmus\S6K
FlyBase:FBgn0040303	Mmus\Atoh1
FlyBase:FBgn0044038	Mmus\Usp9x
FlyBase:FBgn0044039	Mmus\Tsg
FlyBase:FBgn0044830	Mmus\Zfpm2
FlyBase:FBgn0044831	Mmus\Zfpm1
FlyBase:FBgn0044832	Mmus\Nkd1
FlyBase:FBgn0045444	Mmus\Cbx1
FlyBase:FBgn0062630	Mmus\krm2
FlyBase:FBgn0063913	Mmus\porc
FlyBase:FBgn0064234	Mmus\Evx1
FlyBase:FBgn0066092	Mmus\Ppp3ca
FlyBase:FBgn0067408	Mmus\Foxo1
FlyBase:FBgn0067409	Mmus\Dusp8
FlyBase:FBgn0069358	Mmus\Ube4b
FlyBase:FBgn0069359	Mmus\Has2
FlyBase:FBgn0082306	Mmus\ytr
FlyBase:FBgn0082308	Mmus\Zfp537
FlyBase:FBgn0082309	Mmus\Zfp339
FlyBase:FBgn0082310	Mmus\Sdccag33l
