MGI:99678	Actn3
MGI:2159728	Slc26a6
MGI:1919107	Slc17a9
MGI:94924	Drd2
MGI:3038441	Skax7
MGI:1347352	Hunk
MGI:1920431	Nfatc4
MGI:1195275	Rdh1
MGI:88053	Apoc1
MGI:5584152	Del(16Tssk1-Tssk2)1Agr
MGI:2149047	Adip6
MGI:105982	Rfx1
MGI:3045318	Usp44
MGI:87902	Acta1
MGI:1914724	Snap29
MGI:2141142	Rpap2
MGI:3590286	Tsiq1
MGI:1353456	Sles4
MGI:1922985	Pank1
MGI:1309503	Kcnq2
MGI:107430	Gdnf
MGI:1934234	Pip4k2b
MGI:1197518	Aatk
MGI:2143977	Mbtd1
MGI:3806120	Rgsc515
MGI:1858211	Zranb2
MGI:3651438	Ptf1aos
MGI:98553	Tcra
MGI:3046712	gro79
MGI:106011	St8sia1
MGI:94875	Dxcp2
MGI:1921740	Mamstr
MGI:95529	fh
MGI:3829398	Abshq1
MGI:3038438	nur58
MGI:97277	N
MGI:1920831	Stk36
MGI:3531520	Obwq5
MGI:3044630	Tsvw1
MGI:5437067	b2b1508Clo
MGI:5564803	Mannr
MGI:107498	Ltc4s
MGI:2151215	Pgia7
MGI:2148762	Eae21
MGI:1277991	Dach1
MGI:95692	Gdf9
MGI:1278339	Dgkz
MGI:1321390	Enpp2
MGI:1923582	Cog2
MGI:96915	Maoa
MGI:97508	Pcp2
MGI:3531526	Obq20
MGI:103232	Grb10
MGI:1351326	Nrk
MGI:106040	Cyp51
MGI:108002	Orch5
MGI:1891230	Fembrs5
MGI:1933817	Carp1
MGI:1859165	Cacng3
MGI:97590	pk
MGI:1344346	Wt6q3
MGI:104987	Mxd3
MGI:1352681	Olfr155
MGI:97463	P4ha1
MGI:1276525	H2-M10.2
MGI:2444480	Casc1
MGI:1914877	Olfml3
MGI:3589179	Pbwg19
MGI:1261780	Mcpt8
MGI:3042900	Lvrq9
MGI:2684974	Gm128
MGI:3689103	fit4
MGI:88390	Cga
MGI:1890621	Donson
MGI:3774598	Tcnq3
MGI:1914930	Sdhb
MGI:1933277	Gtf2a1
MGI:892001	Slc22a6
MGI:2669988	Berr1
MGI:88492	Masp1
MGI:2148493	Insq6
MGI:1916151	Gpr126
MGI:1096367	Psme1
MGI:2143315	Klhl18
MGI:1309452	Alcw1
MGI:101926	Dlx5
MGI:3528322	Manln17
MGI:1349410	Triobp
MGI:1928482	Mbnl1
MGI:1346025	Cms1
MGI:2441731	Ffar2
MGI:97363	Notch1
MGI:3042899	Kidq7
MGI:108100	Dvl3
MGI:101772	Snta1
MGI:1859665	Atp8b1
MGI:2444684	Rhbdd3
MGI:2178479	Bbaa17
MGI:1344372	Rbck1
MGI:2145814	Ppif
MGI:104768	Gast
MGI:1270844	Cideb
MGI:2656805	Lbm4
MGI:3618704	Mir124a-3
MGI:1202886	Meg3
MGI:2176188	Gasa3
MGI:3703758	Plast1
MGI:3710942	Vms2
MGI:5288369	In(18E2;Smad4)3Ove
MGI:2447999	Bdln6
MGI:5499180	Pedm15
MGI:1298375	Cabin1
MGI:1100509	Kcnk3
MGI:96027	Hbb-y
MGI:1309480	Rtf1
MGI:108470	St6gal1
MGI:95666	Gbp2b
MGI:2686941	Hrtfm4
MGI:1929612	Ikbke
MGI:1100869	Ap3b2
MGI:1933177	Pik3ap1
MGI:87942	Adre
MGI:3033918	l4Jus6
MGI:102682	Llgl1
MGI:1889575	Adar
MGI:3527427	Taar3
MGI:2684326	Slc39a2
MGI:3524765	Arigg10
MGI:2443732	Dna2
MGI:1306778	Map1b
MGI:96775	lg
MGI:98358	Sox10
MGI:3616176	Del(2Hoxd8-Hoxd13)11Ddu
MGI:3712326	Parp10
MGI:3033968	l4Jus18
MGI:95480	Fancc
MGI:2676881	Mir206
MGI:3777566	piza
MGI:95512	fe
MGI:2178485	Bbaa21
MGI:3580550	Nsila10
MGI:2672814	Otos
MGI:1920393	Wdr37
MGI:2150380	Srd5a2
MGI:99841	Htr7
MGI:2663985	Kiss1
MGI:96571	Inhbb
MGI:2178476	Bbaa14
MGI:5049994	zoef
MGI:1333818	Rps7
MGI:3582469	Gnf4
MGI:3795428	Dmq3
MGI:1196288	Eif6
MGI:2680097	Rear2
MGI:99929	Htas4
MGI:1353464	Sles1
MGI:109622	Aip
MGI:103013	Cacna1c
MGI:3590247	Vacq2
MGI:88335	Cd4
MGI:88266	Capns1
MGI:1341168	Spic
MGI:88568	Cux1
MGI:1355303	Galns
MGI:3526942	W6q17
MGI:3719085	Pcdha
MGI:3697200	Vmmt12
MGI:108045	Gcm1
MGI:3575180	Hlb197
MGI:1353448	Eif2ak1
MGI:107410	Zbtb17
MGI:2183341	bpck
MGI:1921430	Muc5b
MGI:97810	Ptprc
MGI:96616	Itgb7
MGI:5463399	Rr21
MGI:3583262	Cia38
MGI:107846	Prmt1
MGI:105951	Mobq3
MGI:2449316	Syne2
MGI:97351	Nkx2-6
MGI:1924550	Raph1
MGI:3614566	Ccrs3
MGI:3528306	Manln1
MGI:2155631	Pas3b
MGI:3806808	Rgsc663
MGI:1918779	Kazn
MGI:5313706	b2b246Clo
MGI:1934943	Amn
MGI:3038397	nur40
MGI:1276558	Slc13a2
MGI:1920662	Nme8
MGI:2656546	Lmr13
MGI:1891176	Cbm3
MGI:1203498	awg
MGI:1097712	Npc1
MGI:1339941	Cxcl15
MGI:1099792	Ptpn4
MGI:892979	Chm
MGI:96759	Ldha
MGI:1101770	Ring1
MGI:3686729	Gena360
MGI:1923928	Tmem67
MGI:97631	Pmp22
MGI:3832740	Mssq9
MGI:106037	Lrrn2
MGI:3629729	Gt(pU21)107Imeg
MGI:1933163	Trim2
MGI:1342774	Ppargc1a
MGI:1933185	Ctps2
MGI:3699365	Chldq1
MGI:1891827	Gde1
MGI:101876	Tead1
MGI:2651874	Sesn2
MGI:3612500	Cmn1
MGI:1100864	Dnah11
MGI:2443687	Arhgap25
MGI:2677757	Marif3
MGI:1339365	S1pr3
MGI:2671484	nur20
MGI:2444812	Camkk2
MGI:1923062	Tasp1
MGI:2151184	Hipp2
MGI:5515448	M624b
MGI:108568	Bgeq2
MGI:2148579	Heal7
MGI:1921387	Nuak2
MGI:1095412	Unc5c
MGI:2678682	Hlb62
MGI:2678730	Hlb252
MGI:1860440	Bace2
MGI:3783909	Plbcq3
MGI:2443011	Sun2
MGI:1332243	Ugcg
MGI:97845	Rac1
MGI:5317625	Chy10
MGI:99403	Adora2b
MGI:107930	Pip5k1b
MGI:2385046	Slc26a8
MGI:1333760	Tfec
MGI:1919277	Slc39a4
MGI:3806057	Rgsc486
MGI:1309996	Fnld
MGI:1096341	E2f2
MGI:3629687	Gt(pU21)11Imeg
MGI:1913802	Sppl2a
MGI:95408	Epor
MGI:1917834	Pak4
MGI:5427397	Mut579
MGI:108409	Rgs4
MGI:96198	Hoxc8
MGI:1096360	Cd151
MGI:2676831	Mir146
MGI:108029	Scn10a
MGI:96269	Ranbp1
MGI:107527	Ly6a
MGI:97481	Pas1
MGI:5425980	BPL010
MGI:3818981	rgsc1904
MGI:108016	Rad21
MGI:1933331	Elovl4
MGI:88311	Ccnb2
MGI:106340	Rcor1
MGI:1347108	Scc7
MGI:2448628	tmgc4
MGI:1914167	Chordc1
MGI:2656809	Lbm8
MGI:1891076	Trmq1
MGI:1201678	Cacna1g
MGI:107711	Myo1f
MGI:2443411	Cd300a
MGI:107756	hb
MGI:97370	Enpp1
MGI:1346096	Estq3
MGI:107339	Gfm1
MGI:3808822	Rgsc597
MGI:2665170	P2rx2
MGI:96305	Iac
MGI:109269	Inhbe
MGI:3526911	W10q9
MGI:2653368	Klf11
MGI:96924	Mbl2
MGI:97815	Ptprs
MGI:1860055	Panx1
MGI:1919963	Angptl1
MGI:1923646	Nfxl1
MGI:1860443	Rabggta
MGI:2442184	Flcn
MGI:3651014	Gm13212
MGI:3800685	Rgsc411
MGI:1274787	Trdmt1
MGI:3775514	Poats1
MGI:894281	Prl8a2
MGI:2183691	Nav2
MGI:2150641	S1pr5
MGI:2444273	Dennd5b
MGI:101834	Tubg1
MGI:3042423	Lmblgq5
MGI:1914004	Foxp1
MGI:2448347	Hdlq14
MGI:1929512	Litaf
MGI:97774	Prph
MGI:2671298	l11Jus27
MGI:3530326	Mhdaund3
MGI:104663	Lep
MGI:3715735	Bwq8
MGI:5547741	b2b2187.2Clo
MGI:3811393	Rgsc1707
MGI:1923076	Senp2
MGI:2149831	Asthm2
MGI:1353604	Hnf4g
MGI:3801070	Rgsc441
MGI:2183450	Uts2r
MGI:95959	H2-T3
MGI:2443967	Dpp9
MGI:5427421	Mut1293
MGI:3497710	Mastr
MGI:96786	Li
MGI:1922004	Dhcr24
MGI:3818888	rgsc1820
MGI:1345144	Spry4
MGI:95390	En2
MGI:3038466	skc44
MGI:2441711	Supv3l1
MGI:2157548	Olfr78
MGI:3038399	nur41
MGI:1344375	Prkra
MGI:3609317	Pltq1
MGI:2671310	l11Jus38
MGI:1916142	Urah
MGI:1274789	Taldo1
MGI:98821	Trf
MGI:1914953	Kirrel3
MGI:3604737	Tmc1m4
MGI:1861379	Klk4
MGI:2150697	Obq8
MGI:1341857	Mad1l1
MGI:1923734	Kndc1
MGI:2443205	Rbm15
MGI:98331	Snap25
MGI:5495801	Play31
MGI:105107	P2ry2
MGI:5436132	Plt001
MGI:1889215	Bw14
MGI:88314	Ccnd2
MGI:3580542	Nsila2
MGI:1333845	Cypr3
MGI:3577427	gro89
MGI:3794324	Hlb592
MGI:98326	Sst
MGI:3513977	Apcdd1
MGI:3526902	W3q12
MGI:2684017	Sysbp2
MGI:5495799	Play16
MGI:87891	Chrnb2
MGI:2679727	Tdrd6
MGI:2686651	Bbs12
MGI:1333815	Cx3cr1
MGI:1347344	Gla
MGI:5490310	Gena316
MGI:3575150	Hlb395
MGI:2149003	Lprm1
MGI:2671411	gro28
MGI:3046324	Lppl1
MGI:3528383	Pskh1
MGI:5004958	pal
MGI:2151858	Morph1
MGI:5557966	Igs12
MGI:1350341	Sgsh
MGI:1916218	Cdan1
MGI:3813547	Rgsc933
MGI:1351663	Skp2
MGI:1330828	Cdk5r2
MGI:3809006	Rgsc955
MGI:87920	Plin2
MGI:2656511	Lmr5
MGI:2444461	Pgap3
MGI:98957	Wnt4
MGI:2671315	l11Jus42
MGI:2181435	Trpm8
MGI:1312922	Casp12
MGI:3513284	chohr1
MGI:3584032	Lin28b
MGI:1926944	Calcrl
MGI:3522104	Etan1
MGI:1345147	Akt3
MGI:3800218	Rgsc320
MGI:1891836	Mkks
MGI:3698537	Kwq13
MGI:95414	Ercc3
MGI:2151837	Kcal2
MGI:4441330	Rnl29
MGI:3522097	Aph1b
MGI:96739	Stmn1
MGI:1916617	Glrx2
MGI:98578	Tcrb
MGI:107443	Fpr1
MGI:2685045	Pik3c2b
MGI:1913404	Tmem14c
MGI:2442631	Mob1a
MGI:1913498	Alg5
MGI:2671326	l11Jus48
MGI:1298397	Sncg
MGI:1921538	Spem1
MGI:2678712	Hlb237
MGI:3605813	Bwq7
MGI:96214	hph1
MGI:1915762	Tomm5
MGI:2671297	l11Jus26
MGI:2144023	Fbxw11
MGI:1923036	Ckap5
MGI:1928976	Strx2
MGI:1333870	Ate1
MGI:97576	Phka1
MGI:87936	Adra2c
MGI:5490334	Gena381
MGI:98322	smc
MGI:88521	Cryga
MGI:2684956	Sohlh1
MGI:96912	Mag
MGI:3042776	Itprip
MGI:1928986	Dlp2
MGI:1933825	Jam3
MGI:88413	Ckm
MGI:1913311	Tctex1d2
MGI:101842	Pla2g1b
MGI:4834168	psds1l
MGI:87884	Acr
MGI:3686753	Gena228
MGI:2444608	Clec9a
MGI:97909	Rgv1
MGI:3590511	Marq2
MGI:1891317	Bpq5
MGI:96484	Igh-V7183
MGI:1913845	Aste1
MGI:98237	scb
MGI:2384159	Gga3
MGI:3510181	Bwnd4wk7
MGI:2671480	nur18
MGI:5311360	b2b191Clo
MGI:3577476	nur71
MGI:2150033	Actd4
MGI:1916314	Fuom
MGI:109514	Cstb
MGI:1925644	Ddx52
MGI:2676909	Mir30c-1
MGI:104328	Rhbdf1
MGI:3652905	Hemq1
MGI:2446296	Sik3
MGI:2686911	Tgq3
MGI:96608	Itgav
MGI:5439940	Mut1091
MGI:3574363	Del(2Hoxd8,Hoxd9-Hoxd13)1Cx
MGI:2443483	Pdzd4
MGI:108256	El4
MGI:1330824	Csrp3
MGI:1921749	Sost
MGI:3043752	Mmtp3
MGI:1859650	Ramp2
MGI:3525638	Obsty4
MGI:1202068	Pgame1
MGI:3629692	Gt(pU21)27Imeg
MGI:1202297	Stpy
MGI:3579350	Tdmq1
MGI:2150698	Obq9
MGI:2143484	Slc6a15
MGI:3762547	Drinkkcl2
MGI:3762227	Wg2b
MGI:1277955	Bsn
MGI:5560780	b2b2416Clo
MGI:1347075	Nbea
MGI:3576625	Pram1
MGI:4437007	Del(14Trim13-Dleu2)4Rdf
MGI:1329007	Fecq2
MGI:97610	Plat
MGI:109127	Tsc22d1
MGI:3583579	Bomd7
MGI:1914280	Fancl
MGI:2687283	Pld6
MGI:1858203	Rab25
MGI:2149995	Iba4
MGI:2651854	Atg4c
MGI:105091	E2f5
MGI:3629974	Nilac6
MGI:96626	Ivl
MGI:5433393	b2b1163Clo
MGI:108360	Enah
MGI:95839	Gs
MGI:1096383	Fgf15
MGI:3813563	Rgsc970
MGI:107741	Pvr
MGI:108559	Macf1
MGI:3054068	Mdmsc4
MGI:1328321	Bex1
MGI:104797	Lta
MGI:97464	P4hb
MGI:2151061	Idd20
MGI:3834725	Lbca2
MGI:1095405	Ptch2
MGI:1313136	Clip2
MGI:1335098	Lig4
MGI:1333805	Srsf10
MGI:3603222	Mpdk3
MGI:1861998	Nano
MGI:2685877	Xkr8
MGI:96960	Rab8a
MGI:3622211	Hgbq1
MGI:97997	rol
MGI:107760	Chka
MGI:2678726	Hlb239
MGI:1913711	Ptpmt1
MGI:2676886	Mir210
MGI:1309516	Tpst2
MGI:2661284	Cd8mts6
MGI:2151806	Bulb1
MGI:2685451	Rtp2
MGI:98954	Wnt2
MGI:3850097	Gt(OST75692)Lex
MGI:3043647	gro73
MGI:104652	Capzb
MGI:892006	Gsc2
MGI:107754	Neurog1
MGI:1923560	Steap4
MGI:894697	Rad54l
MGI:98421	srn
MGI:2183572	Cntnap4
MGI:1337994	Bcl10
MGI:1347520	Ror1
MGI:1928820	Ascl3
MGI:104872	Ppp1cc
MGI:1346347	Mapk7
MGI:2670747	Reph8
MGI:5431490	b2b1584Clo
MGI:3577487	nur77
MGI:3812125	Rgsc624
MGI:3663606	Mskt5
MGI:2385650	Hcrtr1
MGI:95488	Fbln2
MGI:1926162	Sp2
MGI:3629982	Nilac11
MGI:2159407	Zcchc14
MGI:1916214	Ctc1
MGI:96560	Il6st
MGI:2148204	Prrxl1
MGI:104848	Inpp1
MGI:2680976	Scc14
MGI:3790438	In(10)17Rk
MGI:101771	Sntb2
MGI:1098259	Capg
MGI:2159144	Cdcs9
MGI:2658978	Btla
MGI:1289263	Ccdc39
MGI:2138319	Trp53bp2
MGI:2686159	Aim2
MGI:3762135	Del(2Hoxd11-Hoxd13)27Ddu
MGI:3618709	Mir128-2
MGI:1194882	Irs3
MGI:96828	Lrp1
MGI:1918632	Pex1
MGI:2662492	Lipq1
MGI:1329021	Msh5
MGI:3576020	epdm
MGI:95615	Gabra3
MGI:2442722	Cadm2
MGI:98676	Tel15q
MGI:101914	Calb2
MGI:102643	Myh11
MGI:1341878	Ehd1
MGI:1270153	Zfp106
MGI:1916264	Tnik
MGI:95747	Glra1
MGI:1924366	Mtmr2
MGI:95585	Cidec
MGI:96973	Mgat1
MGI:2151739	Stia1
MGI:2176213	Grid2ip
MGI:3577214	Lith20
MGI:2664670	Pkd1l3
MGI:109258	Nprl3
MGI:1351469	Plekhb1
MGI:2448269	tmgc8
MGI:3798425	Rgsc5
MGI:5317626	Chy11
MGI:2676261	Xiaf3
MGI:1927665	Sirt3
MGI:3806491	Rgsc546
MGI:2685918	Lpar5
MGI:1928386	Rassf1
MGI:109357	Ots1
MGI:104565	Cdkn1b
MGI:92638	Serp1
MGI:1921152	Psmb11
MGI:2443143	Wdr3
MGI:2388073	Camk1g
MGI:2176545	Nss1
MGI:104879	Pdcd1
MGI:3691668	Fcs4
MGI:5499188	Pedm83
MGI:1920036	Tdp1
MGI:2142534	Vat1l
MGI:108068	Cxcl1
MGI:1858271	Mtmr1
MGI:99781	Kdm5c
MGI:1309998	Marco
MGI:3043011	Dms
MGI:2180585	Rgs13
MGI:1928369	Slc2a5
MGI:87997	Alox15
MGI:95411	Erbb3
MGI:3789635	In(3)11Rk
MGI:98386	Sptan1
MGI:2443388	Kdm7a
MGI:2155936	Pask
MGI:3038379	gro64
MGI:2448630	tmgc5
MGI:1890944	Derm1
MGI:1924407	Dpcd
MGI:105931	Sycp1
MGI:1915731	Mpzl1
MGI:2153463	Rxfp2
MGI:3525296	Pnhdlc2
MGI:3784972	Modvl2
MGI:1922997	Sesn3
MGI:1342284	Slc34a2
MGI:88315	Ccnd3
MGI:1353563	Snai3
MGI:1919379	Pex13
MGI:88321	Ms4a1
MGI:2149370	Fglu
MGI:1098667	Adam11
MGI:1196616	Rbpjl
MGI:3784970	Modvl1
MGI:104596	Procr
MGI:3614268	tmgc63
MGI:3578828	Scpro8
MGI:97511	Pcsk1
MGI:1890357	Igf2bp1
MGI:1890218	Akap10
MGI:98480	Tal1
MGI:3038478	Imgt1
MGI:109125	Timp4
MGI:2653833	Nlrp3
MGI:98823	Trh
MGI:3575144	hlb241
MGI:3050566	Akap6
MGI:1860118	Sema3d
MGI:2442252	Lrp4
MGI:2148555	Axtofd1
MGI:103307	Cacnb3
MGI:104867	Lbx1
MGI:3036902	Hdl5
MGI:2442551	Lactb2
MGI:5582398	Del(9Casp1-Casp4)1Bhk
MGI:1316672	Afw1
MGI:3574409	Wbcq5
MGI:3829949	Bmd5a
MGI:894680	Bach1
MGI:2443807	Osbpl8
MGI:95462	Evx2
MGI:3527597	Egq10
MGI:99260	Prkci
MGI:2669611	Tmevd9
MGI:2149042	Adip2
MGI:3712270	urehr2
MGI:1314875	Aaq1
MGI:1913761	Chtop
MGI:3583891	Cia42
MGI:2150656	Man2a2
MGI:2442819	Tshz3
MGI:104685	Twist2
MGI:1920228	Cnih3
MGI:2387303	Paam2
MGI:1261760	Lsamp
MGI:3720898	Bglu4
MGI:1890430	Paxip1
MGI:97933	Rmcf
MGI:2447072	Kif26a
MGI:3521868	Hmdc
MGI:103294	Prg2
MGI:3052179	Synch3
MGI:95753	Glud1
MGI:96605	Itga6
MGI:1924305	Krt76
MGI:5426839	Del(1Fcgr2b-Fcgr3)1Rav
MGI:1313297	Gpr37
MGI:2671491	nur23
MGI:2384508	dblr
MGI:2150020	Rad51c
MGI:1933819	Carp3
MGI:2681195	Tas2r105
MGI:3588683	Ses1b
MGI:5316771	b2b1060Clo
MGI:3612340	Ehbp1l1
MGI:2661281	Cd8ts3
MGI:2151073	Amp2
MGI:5436138	plt009
MGI:98969	wuf
MGI:1341909	Ly96
MGI:2178323	Clstn3
MGI:2683486	Rere
MGI:1202879	Tcf7l2
MGI:1338069	Itsn1
MGI:96937	Mcpt1
MGI:1920194	2900026A02Rik
MGI:1855688	Vti1b
MGI:1933823	Cara3
MGI:1891421	Mesdc2
MGI:104979	Cnn1
MGI:3801143	m5Hefl
MGI:1921761	Lrrc17
MGI:107924	Wnt8a
MGI:2442554	Itpkc
MGI:108009	Alppl2
MGI:3799188	Rgsc269
MGI:94896	Dio1
MGI:3578824	Scpro4
MGI:1921765	Cdkal1
MGI:109603	Cmklr1
MGI:3785416	Vactq2
MGI:3700921	Pis2
MGI:1342270	Large
MGI:1913325	Chchd3
MGI:1354733	Dmrt1
MGI:1861431	Clec7a
MGI:3053547	l10R6
MGI:5491154	b2b1511.1Clo
MGI:1346066	Gvhd1
MGI:99511	Ptpn11
MGI:3622216	Mcvq3
MGI:2671578	crf16
MGI:3810708	Rgsc477
MGI:1352684	Olfr157
MGI:5461148	Igs2
MGI:95609	Gaa
MGI:1345186	Blmh
MGI:1929494	Arhgap35
MGI:1355307	Il22
MGI:97851	Slc20a2
MGI:3574410	Wbcq6
MGI:99462	Pigf
MGI:5584169	Del(XArmcx5-Nxf3)3Jw
MGI:1929704	Zfp191
MGI:99923	Kcnma1
MGI:1914688	Rfk
MGI:88141	Bcr
MGI:106672	Cdh15
MGI:1917849	Ssfa2
MGI:3589233	tmgc58
MGI:105954	Tlsm1
MGI:2385096	Pprc1
MGI:3697100	Char2a
MGI:2153839	Hps3
MGI:98296	Shc1
MGI:2682319	Kmt2d
MGI:5568104	andra
MGI:105952	Lbw8
MGI:1891456	Ripk2
MGI:95404	epf
MGI:1915387	Kdelr1
MGI:4429136	Del(10AI646023-Ggt5)1Bayer
MGI:3612270	Dkd
MGI:5439979	Mut1231
MGI:2446643	Pbrgcsf2
MGI:2442032	Daglb
MGI:97834	Qd
MGI:2679446	Slitrk1
MGI:1923396	Stx16
MGI:1919949	Lime1
MGI:1313291	Vezf1
MGI:94865	Dbi
MGI:1335082	Invs
MGI:1889818	Tspan12
MGI:1861694	Cited4
MGI:2151070	Ophn1
MGI:2149651	Pkcal
MGI:3582976	Cia35
MGI:1891280	Nidd5
MGI:2445125	Timd4
MGI:1338938	Bmpr1a
MGI:1858230	Sart3
MGI:2156687	Slc2a10
MGI:1890077	Foxo1
MGI:97898	Ren1
MGI:2146430	Cblb
MGI:3772850	fsq
MGI:103979	T(7;19)145H
MGI:96542	Il1a
MGI:2443731	Mat2a
MGI:2137957	l7R7
MGI:97242	Mv
MGI:96852	Lus
MGI:1918742	Bbs7
MGI:107931	Sqstm1
MGI:1913302	Sdhc
MGI:3817262	Rgsc1605
MGI:5305736	Is(2)46Ddu
MGI:3702464	Mmom3
MGI:3574407	Wbcq3
MGI:3580234	dali
MGI:107556	Sema5a
MGI:98728	Tgfbr1
MGI:2385849	Sirt7
MGI:96136	Hmgn2
MGI:3613643	Chlq3
MGI:98352	Sod2
MGI:1354159	E2f6
MGI:1338890	Cacna2d3
MGI:96603	Itga4
MGI:1313302	Cenpf
MGI:109483	Rnf103
MGI:1342288	Lbx2
MGI:1330312	Magoh
MGI:2682423	Hrl
MGI:1921605	Smchd1
MGI:1919096	Syce2
MGI:3830821	Idd5.4
MGI:3589615	Gsi1
MGI:96669	Kcnc3
MGI:1101767	Par3
MGI:3588225	Ccdc160
MGI:2147987	Pcyt1b
MGI:3038450	skax16
MGI:102738	Guca2a
MGI:1316669	Afw6
MGI:2441887	Gpr151
MGI:1098219	Hmgb3
MGI:2671572	crf13
MGI:99479	Cckbr
MGI:1352464	Nr1h4
MGI:2445114	Pisd
MGI:5305747	Del(2Atf2)50Ddu
MGI:97316	Nfya
MGI:95285	Edn3
MGI:1196401	Oriq3
MGI:1891009	Noa
MGI:5311876	ples
MGI:1922428	Meiob
MGI:103107	F10
MGI:97495	Pbx1
MGI:2449455	Scarf1
MGI:1354735	Atp11a
MGI:3577425	gro88
MGI:106633	Phox2a
MGI:98623	Tcrg
MGI:2661254	Cd4ts2
MGI:2384791	Slc26a7
MGI:3588383	Artmd1
MGI:3042916	Kidpq1
MGI:1917758	Bbx
MGI:3762536	Drinkmgcl25
MGI:88500	cri
MGI:1889273	Fxyd1
MGI:99439	Btc
MGI:3526906	W10q7
MGI:97276	Myog
MGI:3033896	gro52
MGI:104779	Prkdc
MGI:5491155	b2b1511.2Clo
MGI:1349402	Obq6
MGI:1917489	Gtf3c5
MGI:98304	St3gal1
MGI:106588	Lag3
MGI:2176910	Stheal6
MGI:96054	hcp
MGI:1933988	Kremen1
MGI:2441730	Tbl1xr1
MGI:1346873	Map3k2
MGI:106624	Myo9b
MGI:107887	Gtf3c1
MGI:3611320	nmf246
MGI:5425493	BAP008
MGI:1098567	Astn1
MGI:2137318	Chab4
MGI:3834724	Lbca1
MGI:96292	Hxd
MGI:96543	Il1b
MGI:2140260	Pcsk9
MGI:95296	Egr2
MGI:96022	Hbb-b2
MGI:2684924	Pcdh17
MGI:3806637	Rgsc615
MGI:107708	Ss18
MGI:3771720	wa1l
MGI:3531137	Nwa2
MGI:2384318	dcl
MGI:106091	Cyp7a1
MGI:1916510	Ing2
MGI:104653	Atp2b1
MGI:88578	Cycs
MGI:1889574	Extl2
MGI:97839	Qui
MGI:4821838	avc2
MGI:96856	Lx
MGI:88459	Col6a1
MGI:5427412	Mut1264
MGI:1915229	Atad1
MGI:1351653	Slc14a2
MGI:106210	Dmbt1
MGI:2151915	Datd
MGI:1929878	Smoc1
MGI:1920112	Cox15
MGI:1346088	Cd52
MGI:2679720	Vsig4
MGI:3844123	Sfp3
MGI:3051548	Heal12
MGI:2444070	Nlrc3
MGI:109515	Sftpd
MGI:1933196	Rad54l2
MGI:95387	Emx1
MGI:2653463	Chol7
MGI:1932575	Sp6
MGI:1923113	Clec4g
MGI:103576	Ccl11
MGI:1913870	Pantr2
MGI:2157785	Peg10
MGI:1100510	Bub1
MGI:3812398	Rgsc796
MGI:1341907	Fjx1
MGI:1349447	Cln8
MGI:88086	asp2
MGI:1889227	Mwq2
MGI:1289247	Lmbr1l
MGI:3510239	Skmw6
MGI:104745	Sez6
MGI:3044649	Ethm2
MGI:98385	Spta1
MGI:95396	Eo
MGI:107587	Irf9
MGI:3822001	Vnhv1
MGI:99510	Tmsb4x
MGI:3789592	In(5)2Rk
MGI:3785458	Belr1
MGI:88331	Cd3d
MGI:2449980	Noxa1
MGI:3604973	Bodw1
MGI:1346883	Map4k2
MGI:2671608	skc14
MGI:4829500	m6.9.5Djba
MGI:1333878	Xirp1
MGI:95579	Frl
MGI:104874	Akt2
MGI:2671381	gro42
MGI:2448787	l15R7
MGI:2139740	Ppm1l
MGI:5315431	Mirc26
MGI:3840779	In(2Hoxd11;Itga6)1Ddu
MGI:1920428	Wasl
MGI:95730	Galk1
MGI:1345670	Cia7
MGI:2146443	Xxylt1
MGI:3578830	Scpro10
MGI:3795427	Pldmq3
MGI:3705267	Halr1
MGI:1860483	Msgn1
MGI:3530489	Mhdaali028
MGI:109629	Atp6ap1
MGI:3808781	Rgsc1056
MGI:98085	Rpn2
MGI:1859284	Cldn6
MGI:98217	S100b
MGI:1096569	dwt
MGI:4421011	Rr1
MGI:2149055	Skl6
MGI:88424	Cm
MGI:95559	Flt3
MGI:1194505	C1qbp
MGI:3706148	Ignpq2
MGI:5442337	Mut1446
MGI:102462	Slc9a1
MGI:95442	Es3
MGI:1333850	Mbd4
MGI:103076	Vdr
MGI:1917180	Zfp715
MGI:1929471	Myoz1
MGI:2684022	Pltiq1
MGI:3817972	Hydcs1
MGI:5486165	Rr26
MGI:2180756	Mchr1
MGI:1929864	Myg1
MGI:98218	Prrx2
MGI:103151	Pltp
MGI:2135611	Immp2l
MGI:1858195	Hnrnpu
MGI:1345151	Clec5a
MGI:1913996	Dync2li1
MGI:2149007	Lprm5
MGI:2135957	Camta2
MGI:1920177	Hepacam
MGI:2152889	Dner
MGI:109167	Fgf11
MGI:1861991	Dfp2
MGI:1859310	Asah2
MGI:95484	Fas
MGI:2154433	Cbln4
MGI:1929882	As3mt
MGI:3664268	Dbm3
MGI:107724	Lyr3
MGI:5311334	b2b227Clo
MGI:1920188	Hspb11
MGI:3525201	Mdc1
MGI:1343178	Apobec2
MGI:3529863	Nba5
MGI:3052806	Zfp647
MGI:1916503	Hspb2
MGI:3038440	skax6
MGI:1914440	Eif4e2
MGI:1915842	Syf2
MGI:104993	Lepr
MGI:99254	Etv1
MGI:3046736	Hpcr1
MGI:3040308	Eae33
MGI:2676818	Mir133a-1
MGI:5437721	b2b1117Clo
MGI:3762407	Drinksac1
MGI:3723094	Mtgq2
MGI:96561	Il7
