MGI:2182472	Tpcn1
MGI:1341903	Slc23a1
MGI:106594	Gyk
MGI:109518	Sftpa1
MGI:3616081	Del(2Hoxd13)4Ddu
MGI:108085	Hpgd
MGI:3699367	Tglq1
MGI:2450529	Pilra
MGI:3809391	Rgsc1196
MGI:104752	Nfkbib
MGI:5554600	eob5
MGI:1860611	Pdlim1
MGI:104995	Gclm
MGI:3606092	nmf356
MGI:2686940	Hrtfm3
MGI:2653453	Lith8
MGI:1920583	Slc25a31
MGI:103188	Nfib
MGI:2444846	Negr1
MGI:1270854	Gck
MGI:1891748	Maea
MGI:3038455	skax21
MGI:1860263	Psmg1
MGI:96951	Mdm1
MGI:98274	seb
MGI:3043656	nur65
MGI:3691601	Nhil5
MGI:105941	Mpp1
MGI:1098729	Emp3
MGI:3832747	Mssq16
MGI:1346862	Mapk9
MGI:2178217	Akap9
MGI:98297	Shh
MGI:109202	Kifc3
MGI:108176	Prx
MGI:2676896	Mir22
MGI:3808038	Rgsc919
MGI:103187	Nqo1
MGI:1927471	Lsr
MGI:1196624	Tcea1
MGI:1929213	Zbtb20
MGI:2149702	Skull19
MGI:2442345	Hif1an
MGI:96916	Maob
MGI:95561	Flt4
MGI:1917627	Derl3
MGI:2150643	Asm2
MGI:88574	Cybb
MGI:2443583	Fermt1
MGI:3029632	Med13
MGI:97600	Prkch
MGI:1888501	Ltb4r2
MGI:94859	Dao
MGI:2135625	Glrx
MGI:1098610	Psmc3ip
MGI:1924393	Trip11
MGI:3711852	Chldq9
MGI:104616	Ccr3
MGI:4833656	KAL006
MGI:96790	Lipe
MGI:3590182	repro31
MGI:107373	Dnajc3
MGI:3691599	Nhil3
MGI:3640117	Del(16Es2el-T10)2Bld
MGI:2158451	Cdcs3
MGI:1330810	Trp63
MGI:1333847	Cypr1
MGI:1914677	Rps20
MGI:2677755	Marif1
MGI:2682935	Tmprss13
MGI:1914222	Slc25a23
MGI:1929214	Ap3m2
MGI:3720929	Tgq22
MGI:2669796	Rtn4rl2
MGI:95522	Fgfr1
MGI:87873	Acd
MGI:3042892	Epfq1
MGI:2451366	Ath20
MGI:1097156	Ptgis
MGI:109368	Gimap1
MGI:105120	Dusp1
MGI:3045947	Srcr
MGI:1926555	Mapk8ip2
MGI:1351331	Chaf1a
MGI:2137477	Hpic4
MGI:1917976	Angptl6
MGI:102524	Pou4f2
MGI:1329014	Stam
MGI:109632	Rax
MGI:3511448	tmgc42
MGI:3812085	Rgsc558
MGI:1917458	Med23
MGI:99907	Plod1
MGI:1919204	Suds3
MGI:2676875	Mir200b
MGI:2661276	Cd4ts4
MGI:3710943	Vms3
MGI:104770	Ephb3
MGI:108007	Kcnj9
MGI:101835	Traf2
MGI:3054749	Tgct5
MGI:2147834	Slc6a8
MGI:2178478	Bbaa16
MGI:1261415	Sgpl1
MGI:1859212	Irf7
MGI:1342286	Flii
MGI:1197517	Limk2
MGI:104564	Cdkn1c
MGI:98923	Vav1
MGI:3652906	Hemq2
MGI:5427417	Mut1275
MGI:1347557	Tssk1
MGI:1925638	Mvp
MGI:1914813	Narfl
MGI:99908	Tnfrsf8
MGI:99948	Zfhx3
MGI:88589	Cyp1a2
MGI:1913499	Pno1
MGI:2385299	Dkk4
MGI:96112	Hmbs
MGI:3528313	Manln8
MGI:3616533	Del(2Hoxd10-Hoxd12)19Ddu
MGI:1333807	Rad17
MGI:109546	Tlf
MGI:88490	Crabp1
MGI:1328356	Rad9a
MGI:3775191	Nlgn4l
MGI:3511473	Sox10m3
MGI:3800690	Rgsc413
MGI:3688249	Ostes
MGI:3717081	tnyw
MGI:2447763	Dnd1
MGI:103147	Dync1h1
MGI:1354952	Dkk3
MGI:5056360	prh
MGI:1916867	Pitrm1
MGI:1924880	Prdm8
MGI:1922139	Timmdc1
MGI:1922032	Glt8d2
MGI:109533	Abcb7
MGI:3038458	Skc36
MGI:97380	Ntf3
MGI:1932389	Tlr9
MGI:1342292	Hspa4
MGI:98260	Ccl3
MGI:101949	Rad52
MGI:3527650	W6q11
MGI:1101058	Tnfsf9
MGI:97804	Ptn
MGI:3762326	Ity2a
MGI:3622213	Mchq1
MGI:96187	Hoxb6
MGI:96178	Hoxa6
MGI:97350	Nkx2-5
MGI:2680765	Hcrtr2
MGI:1891829	Rbx1
MGI:3604749	Mlepq2
MGI:2151796	Pnpla3
MGI:98586	Trbv15
MGI:99438	Opn1sw
MGI:95410	Erbb2
MGI:2389180	Lrrtm4
MGI:2152346	Taf4a
MGI:2176909	Stheal5
MGI:1096879	Fxn
MGI:1933218	Tdrd1
MGI:1861438	Gcm2
MGI:3027002	Tgm4
