WormBase:WBGene00000271	brf-1
WormBase:WBGene00000273	brp-1
WormBase:WBGene00000275	bub-1
WormBase:WBGene00000276	byn-1
WormBase:WBGene00000277	cab-1
WormBase:WBGene00000279	cah-1
WormBase:WBGene00000281	cah-3
WormBase:WBGene00000282	cah-4
WormBase:WBGene00000285	cal-1
WormBase:WBGene00000286	cal-2
WormBase:WBGene00000289	cam-1
WormBase:WBGene00000292	cap-1
WormBase:WBGene00000293	cap-2
WormBase:WBGene00000298	cat-4
WormBase:WBGene00000301	cav-1
WormBase:WBGene00000366	cbp-1
WormBase:WBGene00000368	ccb-1
WormBase:WBGene00000369	ccf-1
WormBase:WBGene00000371	cco-1
WormBase:WBGene00000373	cyp-14A5
WormBase:WBGene00000374	cyp-31A1
WormBase:WBGene00000376	ccr-4
WormBase:WBGene00000377	cct-1
WormBase:WBGene00000378	cct-2
WormBase:WBGene00000379	cct-4
WormBase:WBGene00000380	cct-5
WormBase:WBGene00000381	cct-6
WormBase:WBGene00000382	cdc-6
WormBase:WBGene00000383	cdc-14
WormBase:WBGene00000386	cdc-25.1
WormBase:WBGene00000387	cdc-25.2
WormBase:WBGene00000390	cdc-42
WormBase:WBGene00000391	cdd-1
WormBase:WBGene00000392	cdd-2
WormBase:WBGene00000393	cdf-1
WormBase:WBGene00000396	cdh-4
WormBase:WBGene00000403	casy-1
WormBase:WBGene00000405	cdk-1
WormBase:WBGene00000406	cdk-4
WormBase:WBGene00000407	cdk-5
WormBase:WBGene00000408	cdk-7
WormBase:WBGene00000409	cdk-8
WormBase:WBGene00000410	cdk-9
WormBase:WBGene00000411	cdl-1
WormBase:WBGene00000412	cdr-1
WormBase:WBGene00000413	cdt-1
WormBase:WBGene00000415	ced-1
WormBase:WBGene00000417	ced-3
WormBase:WBGene00000418	ced-4
WormBase:WBGene00000419	ced-5
WormBase:WBGene00000420	ced-6
WormBase:WBGene00000423	ced-9
WormBase:WBGene00000424	ced-10
WormBase:WBGene00000431	ceh-6
WormBase:WBGene00000435	ceh-10
WormBase:WBGene00000436	ceh-12
WormBase:WBGene00000437	ceh-13
WormBase:WBGene00000438	ceh-14
WormBase:WBGene00000439	ceh-16
WormBase:WBGene00000440	ceh-17
WormBase:WBGene00000441	ceh-18
WormBase:WBGene00000443	ceh-20
WormBase:WBGene00000445	ceh-22
WormBase:WBGene00000447	ceh-24
WormBase:WBGene00000448	pros-1
WormBase:WBGene00000449	ceh-27
WormBase:WBGene00000452	ceh-31
WormBase:WBGene00000453	ceh-32
WormBase:WBGene00000455	ceh-34
WormBase:WBGene00000457	ceh-36
WormBase:WBGene00000459	ceh-38
WormBase:WBGene00000461	ceh-40
WormBase:WBGene00000463	ceh-43
WormBase:WBGene00000464	ceh-44
WormBase:WBGene00000465	cpg-1
WormBase:WBGene00000466	cel-1
WormBase:WBGene00000467	cep-1
WormBase:WBGene00000469	ces-2
WormBase:WBGene00000474	cey-3
WormBase:WBGene00000475	cey-4
WormBase:WBGene00000479	cgh-1
WormBase:WBGene00000480	cgp-1
WormBase:WBGene00000481	cha-1
WormBase:WBGene00000482	chd-3
WormBase:WBGene00000483	che-1
WormBase:WBGene00000484	che-2
WormBase:WBGene00000485	che-3
WormBase:WBGene00000488	che-7
WormBase:WBGene00000493	che-14
WormBase:WBGene00000496	chs-1
WormBase:WBGene00000497	chs-2
WormBase:WBGene00000498	chk-1
WormBase:WBGene00000499	chk-2
WormBase:WBGene00000500	chn-1
WormBase:WBGene00000502	chp-1
WormBase:WBGene00000503	cht-1
WormBase:WBGene00000507	cit-1.1
WormBase:WBGene00000508	cit-1.2
WormBase:WBGene00000509	cka-1
WormBase:WBGene00000510	cka-2
WormBase:WBGene00000511	ckb-1
WormBase:WBGene00000512	ckb-2
WormBase:WBGene00000513	ckb-3
WormBase:WBGene00000514	ckb-4
WormBase:WBGene00000515	ckc-1
WormBase:WBGene00000516	cki-1
WormBase:WBGene00000517	cki-2
WormBase:WBGene00000519	cku-70
WormBase:WBGene00000520	cku-80
WormBase:WBGene00000521	cky-1
WormBase:WBGene00000522	clc-1
WormBase:WBGene00000523	clc-2
WormBase:WBGene00000524	clc-3
WormBase:WBGene00000527	cle-1
WormBase:WBGene00000529	clh-2
WormBase:WBGene00000530	clh-3
WormBase:WBGene00000532	clh-5
WormBase:WBGene00000534	cpi-2
WormBase:WBGene00000536	clk-1
WormBase:WBGene00000537	clk-2
WormBase:WBGene00000540	cln-3.2
WormBase:WBGene00000541	cln-3.3
WormBase:WBGene00000542	clp-1
WormBase:WBGene00000543	clp-2
WormBase:WBGene00000544	clp-3
WormBase:WBGene00000545	clp-4
WormBase:WBGene00000546	clp-6
WormBase:WBGene00000547	clp-7
WormBase:WBGene00000548	clr-1
WormBase:WBGene00000549	cls-2
WormBase:WBGene00000550	clu-1
WormBase:WBGene00000552	cmd-1
WormBase:WBGene00000559	cnc-5
WormBase:WBGene00000561	cnd-1
WormBase:WBGene00000562	cng-1
WormBase:WBGene00000564	cnk-1
WormBase:WBGene00000565	cnt-1
WormBase:WBGene00000566	cnt-2
WormBase:WBGene00000567	cnx-1
WormBase:WBGene00000584	cog-1
WormBase:WBGene00000585	cogc-2
WormBase:WBGene00000591	coh-1
WormBase:WBGene00000592	coh-3
WormBase:WBGene00000593	col-2
WormBase:WBGene00000594	col-3
WormBase:WBGene00000599	col-10
WormBase:WBGene00000601	col-12
WormBase:WBGene00000602	col-13
WormBase:WBGene00000603	col-14
WormBase:WBGene00000606	col-17
WormBase:WBGene00000608	col-19
WormBase:WBGene00000609	col-20
WormBase:WBGene00000611	col-34
WormBase:WBGene00000612	col-35
WormBase:WBGene00000615	col-38
WormBase:WBGene00000616	col-39
WormBase:WBGene00000620	col-43
WormBase:WBGene00000621	col-44
WormBase:WBGene00000625	col-48
WormBase:WBGene00000626	col-49
WormBase:WBGene00000628	col-51
WormBase:WBGene00000631	col-54
WormBase:WBGene00000636	col-60
WormBase:WBGene00000638	col-62
WormBase:WBGene00000640	col-64
WormBase:WBGene00000647	col-71
WormBase:WBGene00000649	col-73
WormBase:WBGene00000650	col-74
WormBase:WBGene00000653	col-77
WormBase:WBGene00000655	col-79
WormBase:WBGene00000656	col-80
WormBase:WBGene00000659	col-84
WormBase:WBGene00000663	col-88
WormBase:WBGene00000665	col-90
WormBase:WBGene00000666	col-91
WormBase:WBGene00000667	col-92
WormBase:WBGene00000668	col-93
WormBase:WBGene00000669	col-94
WormBase:WBGene00000672	col-97
WormBase:WBGene00000673	col-98
WormBase:WBGene00000675	col-101
WormBase:WBGene00000677	col-103
WormBase:WBGene00000682	col-108
WormBase:WBGene00000684	col-110
WormBase:WBGene00000688	col-114
WormBase:WBGene00000691	col-117
WormBase:WBGene00000693	col-119
WormBase:WBGene00000695	col-121
WormBase:WBGene00000696	col-122
WormBase:WBGene00000699	col-125
WormBase:WBGene00000705	col-131
WormBase:WBGene00000707	col-133
WormBase:WBGene00000712	col-139
WormBase:WBGene00000715	col-142
WormBase:WBGene00000717	col-144
WormBase:WBGene00000719	col-146
WormBase:WBGene00000720	col-147
WormBase:WBGene00000723	col-150
WormBase:WBGene00000727	col-154
WormBase:WBGene00000728	col-155
WormBase:WBGene00000730	col-157
WormBase:WBGene00000731	col-158
WormBase:WBGene00000739	col-166
WormBase:WBGene00000740	col-167
WormBase:WBGene00000741	col-168
WormBase:WBGene00000742	col-169
WormBase:WBGene00000743	col-170
WormBase:WBGene00000749	col-176
WormBase:WBGene00000750	col-177
WormBase:WBGene00000751	col-178
WormBase:WBGene00000752	col-179
WormBase:WBGene00000753	col-180
WormBase:WBGene00000756	col-183
WormBase:WBGene00000757	col-184
WormBase:WBGene00000761	coq-1
WormBase:WBGene00000762	coq-2
WormBase:WBGene00000763	coq-3
WormBase:WBGene00000764	coq-4
WormBase:WBGene00000765	coq-5
WormBase:WBGene00000766	coq-6
WormBase:WBGene00000767	coq-8
WormBase:WBGene00000768	cor-1
WormBase:WBGene00000770	cpb-1
WormBase:WBGene00000771	cpb-2
WormBase:WBGene00000772	cpb-3
WormBase:WBGene00000773	cpf-1
WormBase:WBGene00000774	cpf-2
WormBase:WBGene00000776	cpl-1
WormBase:WBGene00000777	cpn-1
WormBase:WBGene00000779	cpn-3
WormBase:WBGene00000781	cpr-1
WormBase:WBGene00000782	cpr-2
WormBase:WBGene00000783	cpr-3
WormBase:WBGene00000786	cpr-6
WormBase:WBGene00000787	cps-6
WormBase:WBGene00000788	cpz-1
WormBase:WBGene00000789	cpz-2
WormBase:WBGene00000792	crb-1
WormBase:WBGene00000793	crh-1
WormBase:WBGene00000794	crn-1
WormBase:WBGene00000795	crn-2
WormBase:WBGene00000796	crn-3
WormBase:WBGene00000797	crn-4
WormBase:WBGene00000798	crn-5
WormBase:WBGene00000799	crn-6
WormBase:WBGene00000800	cars-1
WormBase:WBGene00000801	cars-2
WormBase:WBGene00000802	crt-1
WormBase:WBGene00000803	csb-1
WormBase:WBGene00000804	csc-1
WormBase:WBGene00000813	csn-1
WormBase:WBGene00000814	csn-2
WormBase:WBGene00000815	csn-3
WormBase:WBGene00000816	csn-4
WormBase:WBGene00000817	csn-5
WormBase:WBGene00000818	csn-6
WormBase:WBGene00000819	csp-1
WormBase:WBGene00000822	csq-1
WormBase:WBGene00000830	ctl-1
WormBase:WBGene00000831	ctl-2
WormBase:WBGene00000833	cts-1
WormBase:WBGene00000834	cua-1
WormBase:WBGene00000835	cuc-1
WormBase:WBGene00000836	cul-1
WormBase:WBGene00000837	cul-2
WormBase:WBGene00000838	cul-3
WormBase:WBGene00000839	cul-4
WormBase:WBGene00000840	cul-5
WormBase:WBGene00000841	cul-6
WormBase:WBGene00000843	cup-2
WormBase:WBGene00000845	cup-4
WormBase:WBGene00000846	cup-5
WormBase:WBGene00000851	cut-1
WormBase:WBGene00000853	cut-6
WormBase:WBGene00000854	cux-7
WormBase:WBGene00000857	cwn-1
WormBase:WBGene00000858	cwn-2
WormBase:WBGene00000862	cwp-4
WormBase:WBGene00000863	cya-1
WormBase:WBGene00000864	cya-2
WormBase:WBGene00000865	cyb-1
WormBase:WBGene00000866	cyb-2.1
WormBase:WBGene00000867	cyb-2.2
WormBase:WBGene00000868	cyb-3
WormBase:WBGene00000869	cyc-1
WormBase:WBGene00000870	cyd-1
WormBase:WBGene00000871	cye-1
WormBase:WBGene00000872	cyk-1
WormBase:WBGene00000874	cyk-3
WormBase:WBGene00000875	cyk-4
WormBase:WBGene00000876	cyl-1
WormBase:WBGene00000880	cyn-4
WormBase:WBGene00000883	cyn-7
WormBase:WBGene00000885	cyn-9
WormBase:WBGene00000887	cyn-11
WormBase:WBGene00000888	cyn-12
WormBase:WBGene00000889	cyn-13
WormBase:WBGene00000890	sig-7
WormBase:WBGene00000891	cyn-15
WormBase:WBGene00000894	dab-1
WormBase:WBGene00000896	dad-1
WormBase:WBGene00000898	daf-2
WormBase:WBGene00000899	daf-3
WormBase:WBGene00000900	daf-4
WormBase:WBGene00000901	daf-5
WormBase:WBGene00000903	daf-7
WormBase:WBGene00000905	daf-9
WormBase:WBGene00000906	daf-10
WormBase:WBGene00000907	daf-11
WormBase:WBGene00000908	daf-12
WormBase:WBGene00000910	daf-14
WormBase:WBGene00000911	daf-15
WormBase:WBGene00000912	daf-16
WormBase:WBGene00000913	daf-18
WormBase:WBGene00000914	daf-19
WormBase:WBGene00000915	daf-21
WormBase:WBGene00000917	daf-25
WormBase:WBGene00000920	daf-28
WormBase:WBGene00000923	daf-31
WormBase:WBGene00000929	dao-3
WormBase:WBGene00000931	dao-5
WormBase:WBGene00000933	dap-3
WormBase:WBGene00000934	dat-1
WormBase:WBGene00000935	daz-1
WormBase:WBGene00000936	dbl-1
WormBase:WBGene00000937	dbr-1
WormBase:WBGene00000938	dcp-66
WormBase:WBGene00000939	dcr-1
WormBase:WBGene00000940	dcs-1
WormBase:WBGene00000941	ddp-1
WormBase:WBGene00000942	deb-1
WormBase:WBGene00000952	del-1
WormBase:WBGene00000959	dgk-2
WormBase:WBGene00000962	dhc-1
WormBase:WBGene00000967	dhs-3
WormBase:WBGene00000969	dhs-5
WormBase:WBGene00000973	dhs-9
WormBase:WBGene00000979	dhs-16
WormBase:WBGene00000984	dhs-21
WormBase:WBGene00000991	dhs-28
WormBase:WBGene00000994	dic-1
WormBase:WBGene00000995	die-1
WormBase:WBGene00000996	dif-1
WormBase:WBGene00000998	dig-1
WormBase:WBGene00001000	dim-1
WormBase:WBGene00001001	dis-3
WormBase:WBGene00001002	div-1
WormBase:WBGene00001005	dlc-1
WormBase:WBGene00001006	dlg-1
WormBase:WBGene00001007	dli-1
WormBase:WBGene00001008	dlk-1
WormBase:WBGene00001016	dna-2
WormBase:WBGene00001017	dnc-1
WormBase:WBGene00001018	dnc-2
WormBase:WBGene00001019	dnj-1
WormBase:WBGene00001020	dnj-2
WormBase:WBGene00001025	dnj-7
WormBase:WBGene00001026	dnj-8
WormBase:WBGene00001028	dnj-10
WormBase:WBGene00001029	dnj-11
WormBase:WBGene00001030	dnj-12
WormBase:WBGene00001031	dnj-13
WormBase:WBGene00001032	dnj-14
WormBase:WBGene00001033	dnj-15
WormBase:WBGene00001035	dnj-17
WormBase:WBGene00001036	dnj-18
WormBase:WBGene00001037	dnj-19
WormBase:WBGene00001039	dnj-21
WormBase:WBGene00001040	dnj-22
WormBase:WBGene00001041	dnj-23
WormBase:WBGene00001043	dnj-25
WormBase:WBGene00001047	dnj-29
WormBase:WBGene00001048	dnj-30
WormBase:WBGene00001049	dog-1
WormBase:WBGene00001051	cks-1
WormBase:WBGene00001052	dop-1
WormBase:WBGene00001061	dpl-1
WormBase:WBGene00001063	dpy-1
WormBase:WBGene00001064	dpy-2
WormBase:WBGene00001065	dpy-3
WormBase:WBGene00001066	dpy-4
WormBase:WBGene00001067	dpy-5
WormBase:WBGene00001068	dpy-6
WormBase:WBGene00001069	dpy-7
WormBase:WBGene00001070	dpy-8
WormBase:WBGene00001071	dpy-9
WormBase:WBGene00001072	dpy-10
WormBase:WBGene00001073	dpy-11
WormBase:WBGene00001074	dpy-13
WormBase:WBGene00001075	dpy-14
WormBase:WBGene00001076	dpy-17
WormBase:WBGene00001077	dpy-18
WormBase:WBGene00001079	dpy-20
WormBase:WBGene00001080	dpy-21
WormBase:WBGene00001081	dpy-22
WormBase:WBGene00001082	dpy-23
WormBase:WBGene00001085	dpy-26
