phenotype_id	phenotype_label
FBbt:00000020PHENOTYPE	abdomen | adult stage A1 phenotype
FBbt:00000020PHENOTYPE	abdomen | ectopic phenotype
FBbt:00000020PHENOTYPE	abdomen | P-stage phenotype
FBbt:00000020PHENOTYPE	abdomen | germline clone | posterior phenotype
FBbt:00000020PHENOTYPE	abdomen | posterior phenotype
FBbt:00000020PHENOTYPE	abdomen | female phenotype
FBbt:00000020PHENOTYPE	abdomen | somatic clone phenotype
FBbt:00000020PHENOTYPE	abdomen phenotype
FBbt:00000020PHENOTYPE	abdomen | pharate adult stage phenotype
FBbt:00000020PHENOTYPE	abdomen | pupal stage phenotype
FBbt:00000020PHENOTYPE	abdomen | male phenotype
FBbt:00000021PHENOTYPE	abdominal segment | pharate adult stage phenotype
FBbt:00000021PHENOTYPE	abdominal segment | ectopic phenotype
FBbt:00000021PHENOTYPE	abdominal segment | maternal effect phenotype
FBbt:00000021PHENOTYPE	abdominal segment | pharate adult stage | somatic clone phenotype
FBbt:00000021PHENOTYPE	abdominal segment phenotype
FBbt:00000021PHENOTYPE	abdominal segment | cell autonomous | somatic clone phenotype
FBbt:00000021PHENOTYPE	abdominal segment | ectopic | posterior phenotype
FBbt:00000022PHENOTYPE	abdominal segment 1 | anterior compartment phenotype
FBbt:00000022PHENOTYPE	abdominal segment 1 | ectopic phenotype
FBbt:00000022PHENOTYPE	abdominal segment 1 | maternal effect phenotype
FBbt:00000022PHENOTYPE	abdominal segment 1 phenotype
FBbt:00000023PHENOTYPE	abdominal segment 2 | maternal effect phenotype
FBbt:00000023PHENOTYPE	abdominal segment 2 phenotype
FBbt:00000023PHENOTYPE	abdominal segment 2 | ectopic phenotype
FBbt:00000024PHENOTYPE	abdominal segment 3 phenotype
FBbt:00000024PHENOTYPE	abdominal segment 3 | maternal effect phenotype
FBbt:00000025PHENOTYPE	abdominal segment 4 | ectopic | somatic clone phenotype
FBbt:00000025PHENOTYPE	abdominal segment 4 | male phenotype
FBbt:00000025PHENOTYPE	abdominal segment 4 | maternal effect phenotype
FBbt:00000025PHENOTYPE	abdominal segment 4 phenotype
FBbt:00000026PHENOTYPE	abdominal segment 5 phenotype
FBbt:00000026PHENOTYPE	abdominal segment 5 | ectopic | male phenotype
FBbt:00000026PHENOTYPE	abdominal segment 5 | maternal effect phenotype
FBbt:00000026PHENOTYPE	abdominal segment 5 | somatic clone phenotype
FBbt:00000026PHENOTYPE	abdominal segment 5 | ectopic phenotype
FBbt:00000027PHENOTYPE	abdominal segment 6 | somatic clone phenotype
FBbt:00000027PHENOTYPE	abdominal segment 6 | maternal effect phenotype
FBbt:00000027PHENOTYPE	abdominal segment 6 | ectopic phenotype
FBbt:00000027PHENOTYPE	abdominal segment 6 phenotype
FBbt:00000028PHENOTYPE	abdominal segment 7 | male phenotype
FBbt:00000028PHENOTYPE	abdominal segment 7 phenotype
FBbt:00000028PHENOTYPE	abdominal segment 7 | maternal effect phenotype
FBbt:00000028PHENOTYPE	abdominal segment 7 | somatic clone phenotype
FBbt:00000028PHENOTYPE	abdominal segment 7 | ectopic phenotype
FBbt:00000029PHENOTYPE	abdominal segment 8 | ectopic phenotype
FBbt:00000029PHENOTYPE	abdominal segment 8 | somatic clone phenotype
FBbt:00000029PHENOTYPE	abdominal segment 8 | maternal effect phenotype
FBbt:00000029PHENOTYPE	abdominal segment 8 phenotype
FBbt:00000030PHENOTYPE	abdominal segment 9 | maternal effect phenotype
FBbt:00000030PHENOTYPE	abdominal segment 9 phenotype
FBbt:00000030PHENOTYPE	abdominal segment 9 | ectopic phenotype
FBbt:00000031PHENOTYPE	abdominal segment 10 | maternal effect phenotype
FBbt:00000031PHENOTYPE	abdominal segment 10 | anterior compartment phenotype
FBbt:00000031PHENOTYPE	abdominal segment 10 phenotype
FBbt:00000032PHENOTYPE	abdominal segment 11 phenotype
FBbt:00000032PHENOTYPE	abdominal segment 11 | anterior compartment phenotype
FBbt:00000032PHENOTYPE	abdominal segment 11 | maternal effect phenotype
FBbt:00000033PHENOTYPE	telson | posterior phenotype
FBbt:00000033PHENOTYPE	telson phenotype
FBbt:00000033PHENOTYPE	telson | maternal effect phenotype
FBbt:00000033PHENOTYPE	telson | germline clone phenotype
FBbt:00000033PHENOTYPE	telson | ectopic phenotype
FBbt:00000034PHENOTYPE	egg | supernumerary phenotype
FBbt:00000034PHENOTYPE	egg phenotype
FBbt:00000034PHENOTYPE	egg | somatic clone phenotype
FBbt:00000034PHENOTYPE	egg | maternal effect phenotype
FBbt:00000034PHENOTYPE	egg | maternal effect | ventral phenotype
FBbt:00000034PHENOTYPE	egg | anterior phenotype
FBbt:00000034PHENOTYPE	egg | germline clone phenotype
FBbt:00000034PHENOTYPE	egg | germline clone | maternal effect phenotype
FBbt:00000034PHENOTYPE	egg | dorsal phenotype
FBbt:00000034PHENOTYPE	egg | ventral phenotype
FBbt:00000034PHENOTYPE	egg | anterior | dorsal phenotype
FBbt:00000034PHENOTYPE	egg | maternal effect | somatic clone phenotype
FBbt:00000034PHENOTYPE	egg | germline clone | non-rescuable maternal effect phenotype
FBbt:00000035PHENOTYPE	yolk | maternal effect phenotype
FBbt:00000035PHENOTYPE	yolk | germline clone phenotype
FBbt:00000039PHENOTYPE	inner chorionic layer phenotype
FBbt:00000040PHENOTYPE	endochorion phenotype
FBbt:00000041PHENOTYPE	exochorion phenotype
FBbt:00000042PHENOTYPE	vitelline membrane phenotype
FBbt:00000042PHENOTYPE	vitelline membrane | maternal effect phenotype
FBbt:00000042PHENOTYPE	vitelline membrane | somatic clone phenotype
FBbt:00000043PHENOTYPE	micropyle | ectopic phenotype
FBbt:00000043PHENOTYPE	micropyle | maternal effect phenotype
FBbt:00000043PHENOTYPE	micropyle phenotype
FBbt:00000043PHENOTYPE	micropyle | maternal effect | somatic clone phenotype
FBbt:00000044PHENOTYPE	collar | maternal effect | somatic clone phenotype
FBbt:00000045PHENOTYPE	egg operculum | germline clone phenotype
FBbt:00000045PHENOTYPE	egg operculum | maternal effect phenotype
FBbt:00000045PHENOTYPE	egg operculum | ectopic phenotype
FBbt:00000045PHENOTYPE	egg operculum | somatic clone phenotype
FBbt:00000045PHENOTYPE	egg operculum | maternal effect | somatic clone phenotype
FBbt:00000045PHENOTYPE	egg operculum phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | non-rescuable maternal effect phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | somatic clone | ventral phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | cell non-autonomous | ectopic | somatic clone phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | dorsal | somatic clone phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | germline clone | maternal effect phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | maternal effect phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | germline clone phenotype
FBbt:00000046PHENOTYPE	dorsal appendage phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | embryonic stage 12 phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | germline clone | non-rescuable maternal effect phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | somatic clone phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | ectopic phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | supernumerary phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | maternal effect | somatic clone phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | germline clone | supernumerary phenotype
FBbt:00000046PHENOTYPE	dorsal appendage | ectopic | somatic clone phenotype
FBbt:00000047PHENOTYPE	posterior aeropyle phenotype
FBbt:00000051PHENOTYPE	polar body nucleus | germline clone phenotype
FBbt:00000051PHENOTYPE	polar body nucleus | maternal effect phenotype
FBbt:00000051PHENOTYPE	polar body nucleus phenotype
FBbt:00000051PHENOTYPE	polar body nucleus | female | maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | posterior phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 5 phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 5 | maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | germline clone | posterior phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 14 | germline clone phenotype
FBbt:00000052PHENOTYPE	embryo | rescuable maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | maternal effect | somatic clone phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic cycle 11 phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 8 phenotype
FBbt:00000052PHENOTYPE	embryo | germline clone | maternal effect | posterior phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 14 phenotype
FBbt:00000052PHENOTYPE	embryo | lateral phenotype
FBbt:00000052PHENOTYPE	embryo phenotype
FBbt:00000052PHENOTYPE	embryo | posterior compartment phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 6 phenotype
FBbt:00000052PHENOTYPE	embryo | dorsal | posterior phenotype
FBbt:00000052PHENOTYPE	embryo | dorsal closure stage | germline clone phenotype
FBbt:00000052PHENOTYPE	embryo | maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | anterior | ectopic phenotype
FBbt:00000052PHENOTYPE	embryo | ventral phenotype
FBbt:00000052PHENOTYPE	embryo | germline clone | maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 16 phenotype
FBbt:00000052PHENOTYPE	embryo | germline clone | non-rescuable maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | dorsal phenotype
FBbt:00000052PHENOTYPE	embryo | dorsal closure stage phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 14 | maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 9 phenotype
FBbt:00000052PHENOTYPE	embryo | dorsal ventral gradient phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 4 phenotype
FBbt:00000052PHENOTYPE	embryo | anterior | dorsal phenotype
FBbt:00000052PHENOTYPE	embryo | anterior | maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | ectopic | posterior phenotype
FBbt:00000052PHENOTYPE	embryo | anterior phenotype
FBbt:00000052PHENOTYPE	embryo | embryonic stage 5 | germline clone | non-rescuable maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | maternal effect | posterior phenotype
FBbt:00000052PHENOTYPE	embryo | dorsal closure stage | maternal effect phenotype
FBbt:00000052PHENOTYPE	embryo | germline clone phenotype
FBbt:00000052PHENOTYPE	embryo | gap phenotype
FBbt:00000054PHENOTYPE	cleavage stage embryo phenotype
FBbt:00000054PHENOTYPE	cleavage stage embryo | germline clone | maternal effect phenotype
FBbt:00000054PHENOTYPE	cleavage stage embryo | maternal effect phenotype
FBbt:00000055PHENOTYPE	cleavage nucleus | maternal effect phenotype
FBbt:00000055PHENOTYPE	cleavage nucleus phenotype
FBbt:00000055PHENOTYPE	cleavage nucleus | germline clone | maternal effect phenotype
FBbt:00000056PHENOTYPE	energid phenotype
FBbt:00000057PHENOTYPE	yolk nucleus | maternal effect phenotype
FBbt:00000057PHENOTYPE	yolk nucleus phenotype
FBbt:00000059PHENOTYPE	mitotic domain | maternal effect phenotype
FBbt:00000059PHENOTYPE	mitotic domain | non-rescuable maternal effect phenotype
FBbt:00000060PHENOTYPE	mitotic domain 1 phenotype
FBbt:00000061PHENOTYPE	mitotic domain 2 phenotype
FBbt:00000062PHENOTYPE	mitotic domain 3 phenotype
FBbt:00000064PHENOTYPE	mitotic domain 5 phenotype
FBbt:00000065PHENOTYPE	mitotic domain 6 phenotype
FBbt:00000069PHENOTYPE	mitotic domain 10 phenotype
FBbt:00000079PHENOTYPE	mitotic domain 20 phenotype
FBbt:00000090PHENOTYPE	dorsal ridge phenotype
FBbt:00000091PHENOTYPE	pole bud phenotype
FBbt:00000091PHENOTYPE	pole bud | maternal effect phenotype
FBbt:00000091PHENOTYPE	pole bud | germline clone phenotype
FBbt:00000092PHENOTYPE	pole cell | ectopic | maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | ectopic phenotype
FBbt:00000092PHENOTYPE	pole cell | maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | dorsal closure stage phenotype
FBbt:00000092PHENOTYPE	pole cell | germline clone | rescuable maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 16 phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 11 phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 16 | maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | germline clone phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 15 phenotype
FBbt:00000092PHENOTYPE	pole cell | maternal effect | supernumerary phenotype
FBbt:00000092PHENOTYPE	pole cell | supernumerary phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 14 | maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 14 phenotype
FBbt:00000092PHENOTYPE	pole cell | germline clone | maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 12 | maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 13 | maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage 15 | maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | embryonic stage | non-rescuable maternal effect phenotype
FBbt:00000092PHENOTYPE	pole cell | non-rescuable maternal effect phenotype
FBbt:00000093PHENOTYPE	ventral midline | dorsal | maternal effect phenotype
FBbt:00000093PHENOTYPE	ventral midline | dorsal phenotype
FBbt:00000093PHENOTYPE	ventral midline phenotype
FBbt:00000093PHENOTYPE	ventral midline | embryonic stage phenotype
FBbt:00000093PHENOTYPE	ventral midline | germline clone phenotype
FBbt:00000095PHENOTYPE	amnioserosa | rescuable maternal effect phenotype
FBbt:00000095PHENOTYPE	amnioserosa | somatic clone phenotype
FBbt:00000095PHENOTYPE	amnioserosa | germline clone phenotype
FBbt:00000095PHENOTYPE	amnioserosa phenotype
FBbt:00000095PHENOTYPE	amnioserosa | maternal effect phenotype
FBbt:00000096PHENOTYPE	ventral furrow phenotype
FBbt:00000096PHENOTYPE	ventral furrow | maternal effect phenotype
FBbt:00000096PHENOTYPE	ventral furrow | supernumerary phenotype
FBbt:00000096PHENOTYPE	ventral furrow | germline clone | maternal effect phenotype
FBbt:00000096PHENOTYPE	ventral furrow | germline clone phenotype
FBbt:00000096PHENOTYPE	ventral furrow | ectopic phenotype
FBbt:00000096PHENOTYPE	ventral furrow | non-rescuable maternal effect phenotype
FBbt:00000096PHENOTYPE	ventral furrow | anterior phenotype
FBbt:00000097PHENOTYPE	cephalic furrow | germline clone phenotype
FBbt:00000097PHENOTYPE	cephalic furrow phenotype
FBbt:00000097PHENOTYPE	cephalic furrow | maternal effect phenotype
FBbt:00000101PHENOTYPE	metameric furrow | ventral phenotype
FBbt:00000102PHENOTYPE	germ band | gastrula stage | somatic clone phenotype
FBbt:00000102PHENOTYPE	germ band | early extended germ band stage phenotype
FBbt:00000102PHENOTYPE	germ band | germline clone phenotype
FBbt:00000102PHENOTYPE	germ band phenotype
FBbt:00000102PHENOTYPE	germ band | rescuable maternal effect phenotype
FBbt:00000102PHENOTYPE	germ band | gastrula stage phenotype
FBbt:00000104PHENOTYPE	mesoderm anlage phenotype
FBbt:00000110PHENOTYPE	germ layer | embryonic stage phenotype
FBbt:00000111PHENOTYPE	ectoderm phenotype
FBbt:00000111PHENOTYPE	ectoderm | extended germ band stage | germline clone phenotype
FBbt:00000111PHENOTYPE	ectoderm | dorsal phenotype
FBbt:00000111PHENOTYPE	ectoderm | extended germ band stage phenotype
FBbt:00000111PHENOTYPE	ectoderm | ventral phenotype
FBbt:00000111PHENOTYPE	ectoderm | dorsal | germline clone phenotype
FBbt:00000112PHENOTYPE	dorsal ectoderm phenotype
FBbt:00000116PHENOTYPE	lateral ventral neurectoderm phenotype
FBbt:00000117PHENOTYPE	medial ventral neurectoderm phenotype
FBbt:00000118PHENOTYPE	intermediate ventral neurectoderm phenotype
FBbt:00000123PHENOTYPE	amnioproctodeal invagination phenotype
FBbt:00000123PHENOTYPE	amnioproctodeal invagination | germline clone phenotype
FBbt:00000123PHENOTYPE	amnioproctodeal invagination | maternal effect phenotype
FBbt:00000124PHENOTYPE	epithelial cell | somatic clone phenotype
FBbt:00000124PHENOTYPE	epithelial cell phenotype
FBbt:00000124PHENOTYPE	epithelial cell | pupal stage | somatic clone phenotype
FBbt:00000124PHENOTYPE	epithelial cell | germline clone phenotype
FBbt:00000124PHENOTYPE	epithelial cell | somatic clone - Minute background | third instar larval stage phenotype
FBbt:00000124PHENOTYPE	epithelial cell | pupal stage phenotype
FBbt:00000124PHENOTYPE	epithelial cell | embryonic stage phenotype
FBbt:00000124PHENOTYPE	epithelial cell | extended germ band stage | germline clone | maternal effect phenotype
FBbt:00000125PHENOTYPE	endoderm phenotype
FBbt:00000125PHENOTYPE	endoderm | cell non-autonomous phenotype
FBbt:00000126PHENOTYPE	mesoderm | germline clone phenotype
FBbt:00000126PHENOTYPE	mesoderm | germline clone | maternal effect phenotype
FBbt:00000126PHENOTYPE	mesoderm | ectopic phenotype
FBbt:00000126PHENOTYPE	mesoderm | dorsal phenotype
FBbt:00000126PHENOTYPE	mesoderm | embryonic stage 8 phenotype
FBbt:00000126PHENOTYPE	mesoderm phenotype
FBbt:00000126PHENOTYPE	mesoderm | maternal effect phenotype
FBbt:00000126PHENOTYPE	mesoderm | germline clone | non-rescuable maternal effect phenotype
FBbt:00000127PHENOTYPE	head mesoderm | ectopic phenotype
FBbt:00000127PHENOTYPE	head mesoderm phenotype
FBbt:00000128PHENOTYPE	trunk mesoderm phenotype
FBbt:00000129PHENOTYPE	somatic mesoderm | dorsal phenotype
FBbt:00000129PHENOTYPE	somatic mesoderm phenotype
FBbt:00000130PHENOTYPE	visceral mesoderm | germline clone phenotype
FBbt:00000130PHENOTYPE	visceral mesoderm | embryonic stage phenotype
FBbt:00000130PHENOTYPE	visceral mesoderm | cell non-autonomous phenotype
FBbt:00000130PHENOTYPE	visceral mesoderm | maternal effect phenotype
FBbt:00000130PHENOTYPE	visceral mesoderm | precursor phenotype
FBbt:00000130PHENOTYPE	visceral mesoderm phenotype
FBbt:00000136PHENOTYPE	mesectoderm | germline clone phenotype
FBbt:00000136PHENOTYPE	mesectoderm phenotype
FBbt:00000138PHENOTYPE	parasegment | germline clone | maternal effect phenotype
FBbt:00000138PHENOTYPE	parasegment phenotype
FBbt:00000139PHENOTYPE	parasegment 1 | embryonic stage phenotype
FBbt:00000139PHENOTYPE	parasegment 1 | precursor phenotype
FBbt:00000139PHENOTYPE	parasegment 1 phenotype
FBbt:00000140PHENOTYPE	parasegment 2 phenotype
FBbt:00000140PHENOTYPE	parasegment 2 | embryonic stage phenotype
FBbt:00000141PHENOTYPE	parasegment 3 | embryonic stage phenotype
FBbt:00000141PHENOTYPE	parasegment 3 phenotype
FBbt:00000142PHENOTYPE	parasegment 4 | embryonic stage phenotype
FBbt:00000142PHENOTYPE	parasegment 4 phenotype
FBbt:00000143PHENOTYPE	parasegment 5 phenotype
FBbt:00000143PHENOTYPE	parasegment 5 | embryonic stage phenotype
FBbt:00000144PHENOTYPE	parasegment 6 phenotype
FBbt:00000145PHENOTYPE	parasegment 7 phenotype
FBbt:00000146PHENOTYPE	parasegment 8 phenotype
FBbt:00000147PHENOTYPE	parasegment 9 | ectopic | somatic clone phenotype
FBbt:00000147PHENOTYPE	parasegment 9 phenotype
FBbt:00000148PHENOTYPE	parasegment 10 phenotype
FBbt:00000148PHENOTYPE	parasegment 10 | somatic clone phenotype
FBbt:00000149PHENOTYPE	parasegment 11 | embryonic stage phenotype
FBbt:00000149PHENOTYPE	parasegment 11 phenotype
FBbt:00000149PHENOTYPE	parasegment 11 | somatic clone phenotype
FBbt:00000150PHENOTYPE	parasegment 12 phenotype
FBbt:00000150PHENOTYPE	parasegment 12 | embryonic stage phenotype
FBbt:00000150PHENOTYPE	parasegment 12 | somatic clone phenotype
FBbt:00000151PHENOTYPE	parasegment 13 | somatic clone phenotype
FBbt:00000151PHENOTYPE	parasegment 13 | ectopic phenotype
FBbt:00000151PHENOTYPE	parasegment 13 phenotype
FBbt:00000152PHENOTYPE	parasegment 14 phenotype
FBbt:00000153PHENOTYPE	parasegment 15 phenotype
FBbt:00000154PHENOTYPE	embryonic segment | cell autonomous | somatic clone phenotype
FBbt:00000154PHENOTYPE	embryonic segment | dorsal phenotype
FBbt:00000154PHENOTYPE	embryonic segment | posterior compartment phenotype
FBbt:00000154PHENOTYPE	embryonic segment phenotype
FBbt:00000154PHENOTYPE	embryonic segment | maternal effect phenotype
FBbt:00000154PHENOTYPE	embryonic segment | maternal effect | posterior compartment phenotype
FBbt:00000154PHENOTYPE	embryonic segment | non-rescuable maternal effect phenotype
FBbt:00000154PHENOTYPE	embryonic segment | germline clone | rescuable maternal effect phenotype
FBbt:00000154PHENOTYPE	embryonic segment | anterior phenotype
FBbt:00000154PHENOTYPE	embryonic segment | dorsal closure stage phenotype
FBbt:00000154PHENOTYPE	embryonic segment | germline clone | non-rescuable maternal effect phenotype
FBbt:00000154PHENOTYPE	embryonic segment | germline clone phenotype
FBbt:00000154PHENOTYPE	embryonic segment | germline clone | maternal effect phenotype
FBbt:00000155PHENOTYPE	embryonic head | non-rescuable maternal effect phenotype
FBbt:00000155PHENOTYPE	embryonic head | dorsal phenotype
FBbt:00000155PHENOTYPE	embryonic head | germline clone phenotype
FBbt:00000155PHENOTYPE	embryonic head | maternal effect | posterior phenotype
FBbt:00000155PHENOTYPE	embryonic head | anterior | maternal effect phenotype
FBbt:00000155PHENOTYPE	embryonic head | maternal effect phenotype
FBbt:00000155PHENOTYPE	embryonic head phenotype
FBbt:00000155PHENOTYPE	embryonic head | rescuable maternal effect phenotype
FBbt:00000155PHENOTYPE	embryonic head | anterior phenotype
FBbt:00000155PHENOTYPE	embryonic head | germline clone | maternal effect phenotype
FBbt:00000155PHENOTYPE	embryonic head | germline clone | rescuable maternal effect phenotype
FBbt:00000155PHENOTYPE	embryonic head | germline clone | non-rescuable maternal effect phenotype
FBbt:00000157PHENOTYPE	embryonic head segment phenotype
FBbt:00000157PHENOTYPE	embryonic head segment | maternal effect phenotype
FBbt:00000157PHENOTYPE	embryonic head segment | dorsal phenotype
FBbt:00000157PHENOTYPE	embryonic head segment | germline clone phenotype
FBbt:00000158PHENOTYPE	embryonic procephalic segment phenotype
FBbt:00000159PHENOTYPE	embryonic labral segment | maternal effect phenotype
FBbt:00000159PHENOTYPE	embryonic labral segment phenotype
FBbt:00000160PHENOTYPE	embryonic antennal segment phenotype
FBbt:00000161PHENOTYPE	embryonic intercalary segment phenotype
FBbt:00000162PHENOTYPE	embryonic gnathal segment | ventral phenotype
FBbt:00000162PHENOTYPE	embryonic gnathal segment phenotype
