phenotype_id	phenotype_label
FBbt:00000001PHENOTYPE	organism | P-stage phenotype
FBbt:00000001PHENOTYPE	organism | second instar larval stage phenotype
FBbt:00000001PHENOTYPE	organism | first instar larval stage phenotype
FBbt:00000001PHENOTYPE	organism | cleavage stage phenotype
FBbt:00000001PHENOTYPE	organism | embryonic cycle 12 | maternal effect phenotype
FBbt:00000003PHENOTYPE	segment | maternal effect phenotype
FBbt:00000003PHENOTYPE	segment phenotype
FBbt:00000003PHENOTYPE	segment | posterior phenotype
FBbt:00000003PHENOTYPE	segment | germline clone phenotype
FBbt:00000003PHENOTYPE	segment | posterior compartment phenotype
FBbt:00000003PHENOTYPE	segment | somatic clone phenotype
FBbt:00000003PHENOTYPE	segment | ventral phenotype
FBbt:00000004PHENOTYPE	head phenotype
FBbt:00000004PHENOTYPE	head | dorsal phenotype
FBbt:00000004PHENOTYPE	head | maternal effect phenotype
FBbt:00000004PHENOTYPE	head | ventral phenotype
FBbt:00000004PHENOTYPE	head | larval stage phenotype
FBbt:00000004PHENOTYPE	head | anterior | maternal effect phenotype
FBbt:00000004PHENOTYPE	head | germline clone phenotype
FBbt:00000004PHENOTYPE	head | pupal stage phenotype
FBbt:00000004PHENOTYPE	head | male phenotype
FBbt:00000004PHENOTYPE	head | embryonic stage phenotype
FBbt:00000004PHENOTYPE	head | dorsal | posterior phenotype
FBbt:00000004PHENOTYPE	head | posterior phenotype
FBbt:00000004PHENOTYPE	head | pharate adult stage phenotype
FBbt:00000004PHENOTYPE	head | P-stage phenotype
FBbt:00000004PHENOTYPE	head | dorsal | somatic clone phenotype
FBbt:00000004PHENOTYPE	head | somatic clone phenotype
FBbt:00000005PHENOTYPE	ocular segment | germline clone phenotype
FBbt:00000005PHENOTYPE	ocular segment phenotype
FBbt:00000006PHENOTYPE	head segment phenotype
FBbt:00000007PHENOTYPE	procephalic segment phenotype
FBbt:00000008PHENOTYPE	labral segment | maternal effect phenotype
FBbt:00000008PHENOTYPE	labral segment phenotype
FBbt:00000009PHENOTYPE	antennal segment phenotype
FBbt:00000010PHENOTYPE	intercalary segment phenotype
FBbt:00000011PHENOTYPE	gnathal segment phenotype
FBbt:00000012PHENOTYPE	mandibular segment phenotype
FBbt:00000013PHENOTYPE	maxillary segment | anterior phenotype
FBbt:00000013PHENOTYPE	maxillary segment phenotype
FBbt:00000014PHENOTYPE	labial segment phenotype
FBbt:00000015PHENOTYPE	thorax | ectopic phenotype
FBbt:00000015PHENOTYPE	thorax | somatic clone phenotype
FBbt:00000015PHENOTYPE	thorax | maternal effect phenotype
FBbt:00000015PHENOTYPE	thorax | dorsal phenotype
FBbt:00000015PHENOTYPE	thorax | pharate adult stage phenotype
FBbt:00000015PHENOTYPE	thorax phenotype
FBbt:00000015PHENOTYPE	thorax | anterior phenotype
FBbt:00000016PHENOTYPE	thoracic segment phenotype
FBbt:00000016PHENOTYPE	thoracic segment | ectopic phenotype
FBbt:00000017PHENOTYPE	prothoracic segment | maternal effect phenotype
FBbt:00000017PHENOTYPE	prothoracic segment phenotype
FBbt:00000017PHENOTYPE	prothoracic segment | pharate adult stage phenotype
FBbt:00000017PHENOTYPE	prothoracic segment | dorsal phenotype
FBbt:00000017PHENOTYPE	prothoracic segment | ventral phenotype
FBbt:00000017PHENOTYPE	prothoracic segment | anterior compartment phenotype
FBbt:00000017PHENOTYPE	prothoracic segment | ectopic phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | cell autonomous | somatic clone phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | posterior compartment phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | embryonic stage phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | anterior compartment phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | ectopic phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | posterior compartment | somatic clone phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | somatic clone phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | cell autonomous phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment | ventral phenotype
FBbt:00000019PHENOTYPE	metathoracic segment | posterior compartment phenotype
FBbt:00000019PHENOTYPE	metathoracic segment | maternal effect phenotype
FBbt:00000019PHENOTYPE	metathoracic segment phenotype
FBbt:00000019PHENOTYPE	metathoracic segment | dorsal phenotype
FBbt:00000019PHENOTYPE	metathoracic segment | anterior compartment phenotype
FBbt:00000019PHENOTYPE	metathoracic segment | embryonic stage phenotype
FBbt:00000019PHENOTYPE	metathoracic segment | posterior compartment | somatic clone phenotype
FBbt:00000020PHENOTYPE	abdomen | dorsal | maternal effect | posterior phenotype
FBbt:00000020PHENOTYPE	abdomen | embryonic stage phenotype
FBbt:00000020PHENOTYPE	abdomen | maternal effect phenotype
