FBbt:00000164PHENOTYPE	embryonic maxillary segment phenotype
FBbt:00000165PHENOTYPE	embryonic labial segment phenotype
FBbt:00000166PHENOTYPE	Drosophila embryonic thorax phenotype
FBbt:00000167PHENOTYPE	embryonic thoracic segment phenotype
FBbt:00000168PHENOTYPE	embryonic prothoracic segment phenotype
FBbt:00000169PHENOTYPE	embryonic mesothoracic segment phenotype
FBbt:00000170PHENOTYPE	Drosophila embryonic metathoracic segment phenotype
FBbt:00000171PHENOTYPE	embryonic abdomen phenotype
FBbt:00000172PHENOTYPE	embryonic abdominal segment phenotype
FBbt:00000173PHENOTYPE	Drosophila embryonic abdominal segment 1 phenotype
FBbt:00000174PHENOTYPE	Drosophila embryonic abdominal segment 2 phenotype
FBbt:00000175PHENOTYPE	embryonic abdominal segment 3 phenotype
FBbt:00000176PHENOTYPE	embryonic abdominal segment 4 phenotype
FBbt:00000177PHENOTYPE	Drosophila embryonic abdominal segment 5 phenotype
FBbt:00000178PHENOTYPE	Drosophila embryonic abdominal segment 6 phenotype
FBbt:00000179PHENOTYPE	embryonic abdominal segment 7 phenotype
FBbt:00000180PHENOTYPE	Drosophila embryonic abdominal segment 8 phenotype
FBbt:00000181PHENOTYPE	embryonic abdominal segment 9 phenotype
FBbt:00000182PHENOTYPE	Drosophila embryonic abdominal segment 10 phenotype
FBbt:00000183PHENOTYPE	Drosophila embryonic abdominal segment 11 phenotype
FBbt:00000184PHENOTYPE	Drosophila embryonic telson phenotype
FBbt:00000185PHENOTYPE	Drosophila embryonic/larval tracheal system phenotype
FBbt:00000186PHENOTYPE	embryonic optic lobe primordium phenotype
FBbt:00000197PHENOTYPE	posterior spiracle primordium phenotype
FBbt:00000199PHENOTYPE	Drosophila mesothoracic tracheal pit phenotype
FBbt:00000200PHENOTYPE	Drosophila metathoracic tracheal pit phenotype
FBbt:00000202PHENOTYPE	abdominal tracheal pit 1 phenotype
FBbt:00000203PHENOTYPE	abdominal tracheal pit 2 phenotype
FBbt:00000207PHENOTYPE	abdominal tracheal pit 6 phenotype
FBbt:00000208PHENOTYPE	abdominal tracheal pit 7 phenotype
FBbt:00000211PHENOTYPE	embryonic/larval trachea phenotype
FBbt:00000212PHENOTYPE	Drosophila embryonic/larval dorsal trunk phenotype
FBbt:00000233PHENOTYPE	Drosophila embryonic/larval lateral trunk phenotype
FBbt:00000234PHENOTYPE	Drosophila lateral trunk anterior branch phenotype
FBbt:00000244PHENOTYPE	Drosophila lateral trunk posterior branch phenotype
