FlyBase:FBal0123336	TfAP-2[16]
FlyBase:FBal0123337	TfAP-2[15]
FlyBase:FBal0123338	TfAP-2[14]
FlyBase:FBal0123339	TfAP-2[13]
FlyBase:FBal0123340	TfAP-2[12]
FlyBase:FBal0123341	TfAP-2[11]
FlyBase:FBal0123342	TfAP-2[10]
FlyBase:FBal0123343	AGO1[hs.PK]
FlyBase:FBal0123344	AGO1[Scer\UAS.cKa]
FlyBase:FBal0123345	AGO1[DeltaN.hs]
FlyBase:FBal0123346	AGO1[DeltaN.Scer\UAS]
FlyBase:FBal0123347	AGO1[DeltaC.hs]
FlyBase:FBal0123348	AGO1[DeltaC.Scer\UAS]
FlyBase:FBal0123349	Itgbn[EP2235]
FlyBase:FBal0123350	AP-2alpha[EP896]
FlyBase:FBal0123541	y[SFSY]
FlyBase:FBal0123542	y[SFESY]
FlyBase:FBal0123543	y[dsRNA.Scer\UAS]
FlyBase:FBal0123546	y[EyeSYWS.Scer\FRT+]
FlyBase:FBal0123548	y[EyeSYW.Scer\FRT+]
FlyBase:FBal0123550	y[EyeSYSW.Scer\FRT+]
FlyBase:FBal0123552	y[EyeSFWY.Scer\FRT+]
FlyBase:FBal0123553	y[EyeSFSYSW.Scer\FRT+]
FlyBase:FBal0123554	y[ESY]
FlyBase:FBal0123555	y[ESFY]
FlyBase:FBal0123556	y[ESFSY]
FlyBase:FBal0123557	y[ES-893YS]
FlyBase:FBal0123558	wor[dsRNA.cCa]
FlyBase:FBal0123559	wg[wg.3'UTR.Scer\UAS]
FlyBase:FBal0123560	wg[Ppa.3'UTR.Scer\UAS]
FlyBase:FBal0123563	wg[Scer\UAS.T:lambda\cI-hinge,T:Arus\HRP]
FlyBase:FBal0123564	wg[SV40.3'UTR.Scer\UAS]
FlyBase:FBal0123567	w[iab-7PRE.860]
FlyBase:FBal0123568	w[iab-7PRE.860.E]
FlyBase:FBal0123569	w[iab-7PRE.860.D]
FlyBase:FBal0123570	w[iab-7PRE.860.C]
FlyBase:FBal0123571	w[iab-7PRE.860.B]
FlyBase:FBal0123572	w[enh.iab-7PRE.410]
FlyBase:FBal0123573	w[enh.iab-7PRE.260mut]
FlyBase:FBal0123574	w[enh.iab-7PRE.260]
FlyBase:FBal0123576	w[EyeYSW.Scer\FRT+]
FlyBase:FBal0123577	w[EyeSYWS.Scer\FRT+]
FlyBase:FBal0123579	w[EyeSYW.Scer\FRT+]
FlyBase:FBal0123580	w[EyeSYSW.Scer\FRT-]
FlyBase:FBal0123581	w[EyeSYSW.Scer\FRT+]
FlyBase:FBal0123582	w[EyeSWFSY.Scer\FRT+]
FlyBase:FBal0123583	w[EyeSFWY.Scer\FRT+]
FlyBase:FBal0123584	w[EyeSFSYSW.Scer\FRT+]
FlyBase:FBal0123586	vtd[9]
FlyBase:FBal0123587	vtd[8]
FlyBase:FBal0123588	vtd[80Fh-6]
FlyBase:FBal0123589	vtd[80Fh-5]
FlyBase:FBal0123590	vtd[80Fh-36]
FlyBase:FBal0123591	vtd[80Fh-35]
FlyBase:FBal0123592	vtd[7]
FlyBase:FBal0123593	vtd[6]
FlyBase:FBal0123594	vtd[5-3]
FlyBase:FBal0123596	vtd[5-1]
FlyBase:FBal0123597	vtd[3-1]
FlyBase:FBal0123598	vtd[12]
FlyBase:FBal0123599	vtd[11]
FlyBase:FBal0123600	vtd[10]
FlyBase:FBal0123601	v[S408]
FlyBase:FBal0123602	v[S403]
FlyBase:FBal0123603	v[S401]
FlyBase:FBal0123604	v[S399]
FlyBase:FBal0123605	v[S398]
FlyBase:FBal0123606	v[S397]
FlyBase:FBal0123607	v[S396]
FlyBase:FBal0123608	v[S395]
FlyBase:FBal0123609	v[S394]
FlyBase:FBal0123610	v[S393]
FlyBase:FBal0123611	v[S392]
FlyBase:FBal0123612	v[S391]
FlyBase:FBal0123613	v[S390]
FlyBase:FBal0123614	v[S383]
FlyBase:FBal0123615	v[S377]
FlyBase:FBal0123616	v[S373]
FlyBase:FBal0123617	v[S372]
FlyBase:FBal0123618	v[S371]
FlyBase:FBal0123619	v[S370]
FlyBase:FBal0123620	v[S368]
FlyBase:FBal0123621	v[S366]
FlyBase:FBal0123622	v[S364]
FlyBase:FBal0123623	v[S362]
FlyBase:FBal0123624	v[S359]
FlyBase:FBal0123625	v[S358]
FlyBase:FBal0123626	v[S357]
FlyBase:FBal0123627	v[S356]
FlyBase:FBal0123650	trk[fl.cCa]
FlyBase:FBal0123651	trk[C-159.T:SS-ea]
FlyBase:FBal0123652	trk[C-108.T:SS-ea]
FlyBase:FBal0123653	trk[C-108.Scer\UAS.T:SS-ea]
FlyBase:FBal0123654	trk[C-100.T:SS-wg]
FlyBase:FBal0123655	toy[dsRNA.cKa]
FlyBase:FBal0123656	toy[G7.39]
FlyBase:FBal0123667	tim[pMIN]
FlyBase:FBal0123668	tim[pFLmut]
FlyBase:FBal0123669	tim[pFL]
FlyBase:FBal0123670	tim[pDEAD]
FlyBase:FBal0123671	tim[2512]
FlyBase:FBal0123672	tim[1587]
FlyBase:FBal0123673	tim[1082]
FlyBase:FBal0123674	Diap1[Scer\UAS.T:Ivir\HA1]
FlyBase:FBal0123675	tan[t7]
FlyBase:FBal0123676	tan[hs.T:Hsap\TP53]
FlyBase:FBal0123677	tan[hs.PD]
FlyBase:FBal0123678	tan[Scer\UAS.cDa]
FlyBase:FBal0123679	tan[Scer\UAS.T:Hsap\TP53]
FlyBase:FBal0123680	tan[2]
FlyBase:FBal0123681	tan[1]
FlyBase:FBal0123682	svr[EP356]
FlyBase:FBal0123684	srp[Scer\UAS.cHa]
FlyBase:FBal0123685	srn[p21]
FlyBase:FBal0123686	srn[p18]
FlyBase:FBal0123690	smo[Scer\UAS.cIa]
FlyBase:FBal0123691	smo[Scer\UAS.cFa]
FlyBase:FBal0123692	smo[EP1220]
FlyBase:FBal0123696	sli[GA945]
FlyBase:FBal0123697	sli[GA20]
FlyBase:FBal0123698	sli[GA178]
FlyBase:FBal0123699	sli[550]
FlyBase:FBal0123700	sli[3149]
FlyBase:FBal0123701	sli[2990]
FlyBase:FBal0123702	sli[1912]
FlyBase:FBal0123703	sli[DeltaL1-L4.Scer\UAS]
FlyBase:FBal0123704	sli[DeltaG-E7.Scer\UAS]
FlyBase:FBal0123705	sli[DeltaE2-E6.Scer\UAS]
FlyBase:FBal0123706	sgg[EP1576]
FlyBase:FBal0123710	sbb[unspecified]
FlyBase:FBal0123711	sbb[94]
FlyBase:FBal0123712	sbb[324]
FlyBase:FBal0123713	sbb[270]
FlyBase:FBal0123714	sbb[259]
FlyBase:FBal0123715	sbb[256]
FlyBase:FBal0123716	sbb[216]
FlyBase:FBal0123717	sbb[151]
FlyBase:FBal0123719	rpr[C.Scer\UAS]
FlyBase:FBal0123720	robo2[X123]
FlyBase:FBal0123726	roX1[a.Hsp83]
FlyBase:FBal0123736	roX1[Delta30.Hsp83]
FlyBase:FBal0123737	rg[x3]
FlyBase:FBal0123738	rg[p3]
FlyBase:FBal0123739	Ran[Scer\UAS.cKa]
FlyBase:FBal0123740	Ran[G19V.Q69L.Scer\UAS]
FlyBase:FBal0123741	rad[unspecified]
FlyBase:FBal0123743	ptc[Scer\UAS.cIa]
FlyBase:FBal0123744	ptc[SSD.Scer\UAS]
FlyBase:FBal0123745	ptc[S2F.Scer\UAS]
FlyBase:FBal0123749	prod[unspecified]
FlyBase:FBal0123758	pb[Scer\UAS.cMa]
FlyBase:FBal0123759	par-6[Delta226]
FlyBase:FBal0123761	otu[627]
FlyBase:FBal0123762	otu[423]
FlyBase:FBal0123768	nmo[c5-1.Scer\UAS]
FlyBase:FBal0123769	nmo[c4-2.Scer\UAS]
FlyBase:FBal0123770	nmo[dsRNA.197-669]
FlyBase:FBal0123771	ninaE[T:Btau\1D4]
FlyBase:FBal0123772	net[383]
FlyBase:FBal0123773	net[107]
FlyBase:FBal0123775	mus201[MMS-5]
FlyBase:FBal0123776	msi[Act5C.PO]
FlyBase:FBal0123777	msi[A.B.Act5C]
FlyBase:FBal0123778	mer-on-3[que]
FlyBase:FBal0123779	mer-on-3[pi9]
FlyBase:FBal0123780	mali[27]
FlyBase:FBal0123781	lolal[311a]
FlyBase:FBal0123782	lab[Scer\UAS.cMa]
FlyBase:FBal0123783	l(3)S007708[S007708]
FlyBase:FBal0123784	l(3)S007708[Jan136]
FlyBase:FBal0123785	l(3)80Fj[2-30]
FlyBase:FBal0123786	RpL15[PDelta8]
FlyBase:FBal0123787	RpL15[PDelta2]
FlyBase:FBal0123788	RpL15[8-1]
FlyBase:FBal0123789	RpL15[72]
FlyBase:FBal0123790	RpL15[7-1]
FlyBase:FBal0123791	l(3)80Fe[BH-4]
FlyBase:FBal0123792	l(3)80Fe[1-16-27]
FlyBase:FBal0123798	key[unspecified]
FlyBase:FBal0123799	key[9]
FlyBase:FBal0123800	key[8]
FlyBase:FBal0123801	key[7]
FlyBase:FBal0123802	key[6]
FlyBase:FBal0123803	key[5]
FlyBase:FBal0123804	key[4]
FlyBase:FBal0123805	key[3]
FlyBase:FBal0123806	key[2]
FlyBase:FBal0123807	key[1]
FlyBase:FBal0123809	key[10]
FlyBase:FBal0123810	ifm(2)RU664[RU664]
FlyBase:FBal0123811	ifm(2)RU536[RU536]
FlyBase:FBal0123812	ifm(2)RU486[RU486]
FlyBase:FBal0123813	ifm(2)RU2[unspecified]
FlyBase:FBal0123814	aurB[dsRNA.cAa]
FlyBase:FBal0123820	iab-7PRE[260mut]
FlyBase:FBal0123821	iab-7PRE[260]
FlyBase:FBal0123822	hh[dsRNA.cRa]
FlyBase:FBal0123828	h::Kr[DeltaPED.twi]
FlyBase:FBal0123849	grim[C.Scer\UAS]
FlyBase:FBal0123850	grim::rpr[rg.Scer\UAS]
FlyBase:FBal0123851	grim::rpr[gr.Scer\UAS]
FlyBase:FBal0123852	gig[Scer\UAS.cTa]
FlyBase:FBal0123853	gig[Scer\UAS.cGa]
FlyBase:FBal0123859	flam[py+P]
FlyBase:FBal0123860	flam[679-5b]
FlyBase:FBal0123861	flam[679-16a]
FlyBase:FBal0123862	flam[679-14a]
FlyBase:FBal0123865	ey[dsRNA.cKa]
FlyBase:FBal0123897	eve[EGNPA]
FlyBase:FBal0123898	eve[EGNHA]
FlyBase:FBal0123899	eve[EGNAY]
FlyBase:FBal0123900	eve[EGNDeltaLFK]
FlyBase:FBal0123901	eve[58-11]
FlyBase:FBal0123902	eve[20-35]
FlyBase:FBal0123903	eve[10-5]
FlyBase:FBal0123904	eve::h[hb.PK]
FlyBase:FBal0123905	eve::h[eveDelta.hb]
FlyBase:FBal0123906	esc[hs.T:ZnF-su(Hw),T:Zzzz\FLAG]
FlyBase:FBal0123908	dsh[T:Avic\GFP-EGFP]
FlyBase:FBal0123909	dsh[1.T:Avic\GFP-EGFP]
FlyBase:FBal0123918	Bap111[Scer\UAS.T:Ivir\HA1,T:Zzzz\His6]
FlyBase:FBal0123921	comt[clp]
FlyBase:FBal0123922	comt[Scer\UAS.cGa]
FlyBase:FBal0123923	comt[3-13-3]
FlyBase:FBal0123925	ci[dsRNA.cRa]
FlyBase:FBal0123926	ci[Inh.Scer\UAS]
FlyBase:FBal0123927	ci[Act.Scer\UAS]
FlyBase:FBal0123929	cas[3921]
FlyBase:FBal0123930	cas[290]
FlyBase:FBal0123931	can[z3-2824]
FlyBase:FBal0123932	can[z3-0611]
FlyBase:FBal0123933	can[z3-0246]
FlyBase:FBal0123934	can[13]
FlyBase:FBal0123935	can[12]
FlyBase:FBal0123936	can[+t5.7]
FlyBase:FBal0123937	bun[BG01623]
FlyBase:FBal0123938	bs[364]
FlyBase:FBal0123939	bs[253]
FlyBase:FBal0123940	bs[246]
FlyBase:FBal0123941	bs[242]
FlyBase:FBal0123942	bs[237]
FlyBase:FBal0123943	bs[221]
FlyBase:FBal0123944	bs[217]
FlyBase:FBal0123945	bs[211]
FlyBase:FBal0123946	bs[1348]
FlyBase:FBal0123949	arm[043A01]
FlyBase:FBal0123950	ap[Su(ChipE)]
FlyBase:FBal0123951	abd-A[Scer\UAS.cPa]
FlyBase:FBal0123952	Vhl[cAa]
FlyBase:FBal0123953	Vhl[a.cAa]
FlyBase:FBal0123956	Ubx[Scer\UAS.cPa]
FlyBase:FBal0123957	Ubx[Scer\UAS.cMa]
FlyBase:FBal0123959	Tsc1[unspecified]
FlyBase:FBal0123960	Tsc1[W243X]
FlyBase:FBal0123961	Tsc1[Scer\UAS.cTa]
FlyBase:FBal0123962	Tsc1[Scer\UAS.cPa]
FlyBase:FBal0123963	Tsc1[Scer\UAS.cGa]
FlyBase:FBal0123964	Tsc1[R453X]
FlyBase:FBal0123965	Tsc1[Q87X]
FlyBase:FBal0123966	Tsc1[Q600X]
FlyBase:FBal0123968	Tsc1[29]
FlyBase:FBal0123970	Tsc1[+t4.7]
FlyBase:FBal0123971	TotA[Scer\UAS.cEa]
FlyBase:FBal0123972	Tm2[DL2]
FlyBase:FBal0123979	Tak1[dsRNA.cNa]
FlyBase:FBal0123980	Tak1[Scer\UAS.cMa]
FlyBase:FBal0123981	Tak1[K46R.M.Scer\UAS]
FlyBase:FBal0123982	Tak1[D159A.Scer\UAS]
FlyBase:FBal0123986	Su(var)205[hs.T:Scer\GAL4]
FlyBase:FBal0123987	Su(var)2-10[Pex74a]
FlyBase:FBal0123988	Su(var)2-10[1]
FlyBase:FBal0123989	Su(var)2-10[+t15]
FlyBase:FBal0123998	Su(P)[+t2.56]
FlyBase:FBal0124000	Scr[Scer\UAS.cPa]
FlyBase:FBal0124001	Scr[Scer\UAS.cMa]
FlyBase:FBal0124002	Scm[hs.T:ZnF-su(Hw),T:Zzzz\FLAG]
FlyBase:FBal0124003	Scm[hs.DeltaSPM.T:ZnF-su(Hw),T:Zzzz\FLAG]
FlyBase:FBal0124049	SF2[Scer\UAS.cAa]
FlyBase:FBal0124054	Ptp10D[BG02428]
FlyBase:FBal0124092	Pof[EP2285]
FlyBase:FBal0124093	Pdk1[EP3091]
FlyBase:FBal0124094	Pdk1[EP837]
FlyBase:FBal0124097	Pc[hs.T:ZnF-su(Hw),T:Zzzz\FLAG]
FlyBase:FBal0124098	Orc5[unspecified]
FlyBase:FBal0124102	Nsf2[WT.Scer\UAS]
FlyBase:FBal0124103	Nsf2[Scer\UAS.cGa]
FlyBase:FBal0124104	Nsf2[EQ.Scer\UAS]
FlyBase:FBal0124105	Nsf2[66]
FlyBase:FBal0124106	Nsf2[55]
FlyBase:FBal0124107	Nsf2[42]
FlyBase:FBal0124108	Nsf2[21]
FlyBase:FBal0124109	Nsf2[15]
FlyBase:FBal0124110	Nsf2[11]
FlyBase:FBal0124111	Nsf2[103]
FlyBase:FBal0124112	Nsf2[102]
FlyBase:FBal0124153	MMS-6[MMS-6]
FlyBase:FBal0124154	MMS-4[MMS-4]
FlyBase:FBal0124155	MMS-3[MMS-3]
FlyBase:FBal0124156	MMS-2[MMS-2]
FlyBase:FBal0124157	MMS-1[MMS-1]
FlyBase:FBal0124158	Kr[twi.PN]
FlyBase:FBal0124162	Jra[dsRNA.cNa]
FlyBase:FBal0124164	Itp-r83A[Scer\UAS.cVa]
FlyBase:FBal0124165	Itp-r83A[1664GAL4]
FlyBase:FBal0124166	Incenp[dsRNA.cAa]
FlyBase:FBal0124167	Diap2[Scer\UAS.cWa]
FlyBase:FBal0124168	Hsc70-4[R12]
FlyBase:FBal0124169	Hsc70-4[II-R35-R7]
FlyBase:FBal0124170	Hsc70-4[II-R35-R2]
FlyBase:FBal0124171	Hsc70-4[I-R35-R7]
FlyBase:FBal0124173	Hsc70-4[54.1]
FlyBase:FBal0124174	Hsc70-4[Delta356]
FlyBase:FBal0124175	Hsc70-4[Delta27]
FlyBase:FBal0124176	Hsc70-4[Delta21]
FlyBase:FBal0124177	Hsc70-4[Delta19]
FlyBase:FBal0124178	Hsc70-4[Delta16]
FlyBase:FBal0124179	Hsc70-4[Delta11]
FlyBase:FBal0124188	cav[hs.PS]
FlyBase:FBal0124191	Fas2[hs.PC]
FlyBase:FBal0124192	Eip93F[3]
FlyBase:FBal0124194	Egfr[dsRNA.cVa]
FlyBase:FBal0124259	E(Mer)IIb[209]
FlyBase:FBal0124260	E(Mer)IIb[187]
FlyBase:FBal0124261	E(Mer)IIb[182]
FlyBase:FBal0124262	E(Mer)IIIa[320]
FlyBase:FBal0124263	E(Mer)IIIa[278]
FlyBase:FBal0124264	E(Mer)IIIa[239]
FlyBase:FBal0124265	E(Mer)IIIa[202]
FlyBase:FBal0124293	Dr[r7]
FlyBase:FBal0124294	Dr[r65]
FlyBase:FBal0124295	Dr[r62]
FlyBase:FBal0124296	Dr[r60]
FlyBase:FBal0124297	Dr[r55]
FlyBase:FBal0124298	Dr[r54]
FlyBase:FBal0124299	Dr[r11]
FlyBase:FBal0124300	Dr[R59]
FlyBase:FBal0124301	Dr[R53]
FlyBase:FBal0124302	Dr[R22]
FlyBase:FBal0124303	Dr[R21]
FlyBase:FBal0124304	Dr[R10]
FlyBase:FBal0124305	Dr[MioP19]
FlyBase:FBal0124316	Dlc90F[4.1]
FlyBase:FBal0124318	Dlc90F[13.1]
FlyBase:FBal0124322	Dif[1]
FlyBase:FBal0124323	Dhc64C[greco]
FlyBase:FBal0124329	DIP1[t8]
FlyBase:FBal0124331	CycB3[dbm.Scer\UAS]
FlyBase:FBal0124337	CycA[K13A.Delta40-86.T:Ivir\HA1]
FlyBase:FBal0124342	CycA[delta32-53.Scer\UAS]
FlyBase:FBal0124343	CycA[delta17-53.Scer\UAS]
FlyBase:FBal0124344	CycA[delta1-83.Scer\UAS]
FlyBase:FBal0124345	CycA[delta1-53.Scer\UAS]
FlyBase:FBal0124346	CycA[delta1-38.Scer\UAS]
FlyBase:FBal0124347	CycA[delta1-31,46-54.Scer\UAS]
FlyBase:FBal0124348	CycA[delta1-31,39-44.Scer\UAS]
FlyBase:FBal0124349	CycA[delta1-13,32-53.Scer\UAS]
FlyBase:FBal0124350	CycA[delta1-131.Scer\UAS]
FlyBase:FBal0124351	CycA[delta1-109.Scer\UAS]
FlyBase:FBal0124354	CycA[Delta55.T:Ivir\HA1]
FlyBase:FBal0124369	Chi[Erv1]
FlyBase:FBal0124370	Chi[E]
FlyBase:FBal0124372	CadN[B11]
FlyBase:FBal0124373	CadN[4C]
FlyBase:FBal0124374	CadN[405]
FlyBase:FBal0124377	Gbs-70E[BG02516]
FlyBase:FBal0124379	Tom7[BG02496]
FlyBase:FBal0124383	eys[BG02208]
FlyBase:FBal0124384	cdm[BG02608]
FlyBase:FBal0124385	tefu[Delta356]
FlyBase:FBal0124386	tefu[Delta11]
FlyBase:FBal0124394	CAP[BG02184]
FlyBase:FBal0124400	btv[BG01771]
FlyBase:FBal0124406	CG12477[BG01986]
FlyBase:FBal0124408	4EHP[BG01713]
FlyBase:FBal0124410	Bmcp[BG02446]
FlyBase:FBal0124415	Antp[p21]
FlyBase:FBal0124416	Antp[Scer\UAS.cMb]
FlyBase:FBal0124417	Antp[A50,51.Scer\UAS]
FlyBase:FBal0124418	Antp[DeltaHD.Scer\UAS]
FlyBase:FBal0124420	Akt1[Scer\UAS.T:Ivir\HA1]
FlyBase:FBal0124421	Akt1[3]
FlyBase:FBal0124914	w[var]
FlyBase:FBal0124915	vtd[unspecified]
FlyBase:FBal0124916	usp[Scer\UAS.cGa]
FlyBase:FBal0124917	usp::Cten\Usp-1[d-c]
FlyBase:FBal0124918	ultA[1]
FlyBase:FBal0124919	tsh[8.1]
FlyBase:FBal0124927	Diap1[MtnA.T:Ivir\HA1]
FlyBase:FBal0124928	tefu[1]
FlyBase:FBal0124929	sv[rugoso-nu]
FlyBase:FBal0124931	spz[bcd.3'UTR]
FlyBase:FBal0124932	spz[N.bcd.3'UTR]
FlyBase:FBal0124934	snf[148]
FlyBase:FBal0124935	sn[77]
FlyBase:FBal0124936	sn[184]
FlyBase:FBal0124948	sli[B1-32]
FlyBase:FBal0124951	scc[P]
FlyBase:FBal0124952	scc[E8]
FlyBase:FBal0124953	scc[E1]
FlyBase:FBal0124954	robo1[Q1-15]
FlyBase:FBal0124959	robo1[BG01092]
FlyBase:FBal0124960	rn[13-1]
FlyBase:FBal0124961	rl[Sem.C.Scer\UAS]
FlyBase:FBal0124962	rl[Scer\UAS.cKa]
FlyBase:FBal0124963	ptc[N.Scer\UAS]
FlyBase:FBal0124965	ptc[C.Scer\UAS]
FlyBase:FBal0124966	ptc[CDelta.Scer\UAS]
FlyBase:FBal0124967	ptc[1130X.Scer\UAS]
FlyBase:FBal0124968	Raf[Act.Scer\UAS]
FlyBase:FBal0124973	par-6[+tPa]
FlyBase:FBal0124976	otu[67]
FlyBase:FBal0124977	otu[55]
FlyBase:FBal0124978	otu[139]
FlyBase:FBal0124981	ninaE[unspecified]
FlyBase:FBal0124982	ninaE[cEa]
FlyBase:FBal0124985	mei-S332[BG01030]
FlyBase:FBal0124986	mam[DN.Scer\UAS]
FlyBase:FBal0124987	Cul1[BG02329]
FlyBase:FBal0124988	robo2[S4-14]
FlyBase:FBal0124989	robo2[H1-3]
FlyBase:FBal0124991	RpL15[unspecified]
FlyBase:FBal0124992	l(2)Hr45-cII[Hr45-cII]
FlyBase:FBal0124994	l(1)G0302[G0302]
FlyBase:FBal0124996	kuz[S5-65]
FlyBase:FBal0124997	kuz[R1-4]
FlyBase:FBal0124998	kuz[P2-108]
FlyBase:FBal0124999	kuz[J2-11]
FlyBase:FBal0125000	kuz[F2-16]
FlyBase:FBal0125001	kay[pan-Ala.Scer\UAS]
FlyBase:FBal0125002	kay[S135103]
FlyBase:FBal0125003	kay[N-Ala.Scer\UAS]
FlyBase:FBal0125004	kay[C-Ala.Scer\UAS]
FlyBase:FBal0125005	hiw[unspecified]
FlyBase:FBal0125007	fz[arm.T:Avic\GFP-EGFP]
FlyBase:FBal0125008	fz[Scer\UAS.T:Avic\GFP-EGFP]
FlyBase:FBal0125010	fz[P278L.Scer\UAS.T:Avic\GFP-EGFP]
FlyBase:FBal0125011	fz[P278L.Act5C.T:Avic\GFP-EGFP]
FlyBase:FBal0125014	fz[DeltaIntra.Scer\UAS.T:Avic\GFP-EGFP]
FlyBase:FBal0125036	fs(1)Yb[Scer\UAS.cKa]
FlyBase:FBal0125037	fs(1)K10[47]
FlyBase:FBal0125038	fs(1)K10[130]
FlyBase:FBal0125039	fs(1)60[60]
FlyBase:FBal0125040	fs(1)56[56]
FlyBase:FBal0125041	fs(1)3[3]
FlyBase:FBal0125042	fs(1)38[38]
FlyBase:FBal0125043	fs(1)38[161]
FlyBase:FBal0125044	fs(1)261EL[261EL]
FlyBase:FBal0125045	fs(1)260[260]
FlyBase:FBal0125046	fs(1)259[259]
FlyBase:FBal0125047	fs(1)250[250]
FlyBase:FBal0125048	fs(1)242[242]
FlyBase:FBal0125049	fs(1)234[234]
FlyBase:FBal0125050	fs(1)221a[221a]
FlyBase:FBal0125051	fs(1)217[217]
FlyBase:FBal0125052	fs(1)192[192]
FlyBase:FBal0125053	fs(1)186[186]
FlyBase:FBal0125054	fs(1)164[164]
FlyBase:FBal0125055	fs(1)162[162]
FlyBase:FBal0125056	fs(1)140[140]
FlyBase:FBal0125057	fs(1)137a[137a]
FlyBase:FBal0125058	fs(1)127[127]
FlyBase:FBal0125059	fs(1)124[124]
FlyBase:FBal0125060	fs(1)100[100]
FlyBase:FBal0125062	fng[M69]
FlyBase:FBal0125063	fdl[P]
FlyBase:FBal0125064	fdl[E2]
FlyBase:FBal0125065	faf[EP3520]
FlyBase:FBal0125066	faf[EP381.faf-]
FlyBase:FBal0125067	ey[DeltaPDPMHD.Scer\UAS]
FlyBase:FBal0125068	ey[DeltaPD.Scer\UAS]
FlyBase:FBal0125069	ey[DeltaPD+DeltaHD.Scer\UAS]
FlyBase:FBal0125070	ey[DeltaHD.Scer\UAS]
FlyBase:FBal0125072	dnc[225]
FlyBase:FBal0125073	dnc[221b]
FlyBase:FBal0125076	dec-1[H15]
FlyBase:FBal0125077	dec-1[H13]
FlyBase:FBal0125078	dec-1[H12]
FlyBase:FBal0125082	dbe[D29]
FlyBase:FBal0125083	dbe[D102]
FlyBase:FBal0125084	dbe[+t6.5]
FlyBase:FBal0125087	csw[G0171]
FlyBase:FBal0125092	cno[hs.PM]
FlyBase:FBal0125093	cib[E1]
FlyBase:FBal0125094	cib[E11]
FlyBase:FBal0125095	ci[wt.Scer\UAS]
FlyBase:FBal0125097	cg[k11504]
FlyBase:FBal0125100	caps[ID.Scer\UAS]
FlyBase:FBal0125101	caps[ED.Scer\UAS]
FlyBase:FBal0125102	bwa[P]
FlyBase:FBal0125103	bwa[E38]
FlyBase:FBal0125104	bwa[E37]
FlyBase:FBal0125105	btl[Scer\UAS.cKa]
FlyBase:FBal0125106	bst[P]
FlyBase:FBal0125107	bst[E17B]
FlyBase:FBal0125108	bst[E15]
FlyBase:FBal0125109	brn[l.6P6]
FlyBase:FBal0125110	brn[228]
FlyBase:FBal0125111	brn[198]
FlyBase:FBal0125120	bon[21B]
FlyBase:FBal0125126	bif[Scer\UAS.cHa]
FlyBase:FBal0125127	bif[F995A.Scer\UAS]
FlyBase:FBal0125129	bcd[x3.C.T:Scer\GCN4]
FlyBase:FBal0125158	eas[alaP]
FlyBase:FBal0125159	eas[E1]
FlyBase:FBal0125160	eas[alaE13]
FlyBase:FBal0125162	pros[V9]
FlyBase:FBal0125163	pros[V8]
FlyBase:FBal0125164	pros[V7]
FlyBase:FBal0125165	pros[V75]
FlyBase:FBal0125166	pros[V70]
FlyBase:FBal0125167	pros[V6]
FlyBase:FBal0125168	pros[V68]
FlyBase:FBal0125169	pros[V67]
FlyBase:FBal0125170	pros[V66]
FlyBase:FBal0125171	pros[V65]
FlyBase:FBal0125172	pros[V64]
FlyBase:FBal0125173	pros[V63]
FlyBase:FBal0125174	pros[V62]
FlyBase:FBal0125175	pros[V61]
FlyBase:FBal0125176	pros[V60]
FlyBase:FBal0125177	pros[V5]
FlyBase:FBal0125178	pros[V59]
FlyBase:FBal0125179	pros[V58]
FlyBase:FBal0125180	pros[V56]
FlyBase:FBal0125181	pros[V54]
FlyBase:FBal0125182	pros[V52]
FlyBase:FBal0125183	pros[V51]
FlyBase:FBal0125184	pros[V50]
FlyBase:FBal0125185	pros[V4]
FlyBase:FBal0125186	pros[V49]
FlyBase:FBal0125187	pros[V48]
FlyBase:FBal0125188	pros[V45]
FlyBase:FBal0125189	pros[V43]
FlyBase:FBal0125190	pros[V41]
FlyBase:FBal0125191	pros[V3]
FlyBase:FBal0125192	pros[V39]
FlyBase:FBal0125193	pros[V37]
FlyBase:FBal0125194	pros[V36]
FlyBase:FBal0125195	pros[V35]
FlyBase:FBal0125196	pros[V31]
FlyBase:FBal0125197	pros[V30]
FlyBase:FBal0125198	pros[V29]
FlyBase:FBal0125199	pros[V28]
FlyBase:FBal0125200	pros[V27]
FlyBase:FBal0125201	pros[V26]
FlyBase:FBal0125202	pros[V25]
FlyBase:FBal0125203	pros[V24]
FlyBase:FBal0125204	pros[V21]
FlyBase:FBal0125205	pros[V20]
FlyBase:FBal0125206	pros[V19]
FlyBase:FBal0125207	pros[V18]
FlyBase:FBal0125208	pros[V16]
FlyBase:FBal0125209	pros[V15]
FlyBase:FBal0125210	pros[V14]
FlyBase:FBal0125211	pros[V13]
FlyBase:FBal0125212	pros[V12]
FlyBase:FBal0125213	pros[V10]
FlyBase:FBal0125224	Trl[EP3609]
FlyBase:FBal0125226	Trl[EP3184]
FlyBase:FBal0125235	TFAM[dsRNA.119-892]
FlyBase:FBal0125239	Sxl[f79]
FlyBase:FBal0125268	Su(var)2-1[216]
FlyBase:FBal0125269	Su(var)2-1[214]
FlyBase:FBal0125276	Six4[dsRNA.cKa]
FlyBase:FBal0125277	Six4[289]
